model,view,seed,dimension,null_repeat,control_type,subset_indices_hash,auc,mix_at_10,js_divergence,same_family_rate_at_10
logistic_regression,wild_b,23,64,1,global_unrestricted_random,d1af762d1364d0d4,0.8805437672222222,0.12970305555555559,0.3009867481452102,0.6224642929267418
logistic_regression,wild_b,23,64,2,global_unrestricted_random,7349e8a215593059,0.8450884451851851,0.12868750000000004,0.03639340098780956,0.6262171101660067
logistic_regression,wild_b,23,64,3,global_unrestricted_random,d5e3e73e63273421,0.8288717574074074,0.11783111111111111,0.06193155147062559,0.6451557347223914
logistic_regression,wild_b,23,64,4,global_unrestricted_random,873f77f9b65f1ee1,0.8842645896296296,0.10024027777777778,0.26313867329868423,0.6525350118591197
logistic_regression,wild_b,23,64,5,global_unrestricted_random,f19f3c9c73cc4b41,0.9039505787037037,0.09764388888888888,0.0005639046449852824,0.6552368871339044
logistic_regression,wild_b,23,64,6,global_unrestricted_random,6b7465a44a60ac9f,0.875149729074074,0.10304694444444444,0.38457526084999344,0.6590692286031936
logistic_regression,wild_b,23,64,7,global_unrestricted_random,23b61412a520229d,0.8678975066666665,0.10372388888888888,0.008013218804510802,0.663053968714177
logistic_regression,wild_b,23,64,8,global_unrestricted_random,4e41dcca40713b26,0.8519374583333335,0.12140249999999997,0.454562337171974,0.6370359963930818
logistic_regression,wild_b,23,64,9,global_unrestricted_random,3065a3a0007e0435,0.881294647037037,0.09358444444444446,0.002373869107325554,0.6665379388435045
logistic_regression,wild_b,29,16,0,global_unrestricted_random,7488d331baa905a0,0.8899391177777778,0.1380913888888889,0.004990712885931062,0.5613803232612644
logistic_regression,wild_b,29,16,1,global_unrestricted_random,159b6d8cce7df4e3,0.7320012693518518,0.2855147222222222,0.01686824875582582,0.46440320239288774
logistic_regression,wild_b,29,16,2,global_unrestricted_random,0bdd6d9dbb981a6a,0.8040144635185186,0.1429875,0.21398307757947496,0.5820118764924781
logistic_regression,wild_b,29,16,3,global_unrestricted_random,5c591af41ca38f45,0.764999333888889,0.1761541666666667,0.0022092561935245928,0.5227058531751689
logistic_regression,wild_b,29,16,4,global_unrestricted_random,a52a78d27e48b751,0.7702365573148148,0.18853194444444446,1.4259677223903871e-06,0.6310682270177482
logistic_regression,wild_b,29,16,5,global_unrestricted_random,19c413e81a48dfc6,0.8268857237962962,0.2925847222222222,0.02093314852341628,0.2344466279562943
logistic_regression,wild_b,29,16,6,global_unrestricted_random,cfbc972f992e8df4,0.7303593448148149,0.1754591666666667,0.002780144991126172,0.5697977803408437
