model,view,seed,family,dimension,metric,family_seed_mean,null_seed_mean,paired_difference
logistic_regression,wild_b,23,strings,64,mix_at_10,0.09626161111111112,0.11105908333333334,-0.014797472222222219
logistic_regression,wild_b,23,strings,64,js_divergence,0.025967102926924855,0.21095707816618683,-0.18498997523926197
logistic_regression,wild_b,23,strings,64,same_family_rate_at_10,0.6430384365571248,0.6474824315425372,-0.0044439949854123695
logistic_regression,wild_b,29,header,16,auc,0.8836017406759259,0.775988741074074,0.10761299960185189
logistic_regression,wild_b,29,header,16,mix_at_10,0.11840519444444444,0.2007988888888889,-0.08239369444444444
logistic_regression,wild_b,29,header,16,js_divergence,0.08871191992951592,0.0374310547822131,0.051280865147302825
logistic_regression,wild_b,29,header,16,same_family_rate_at_10,0.6515683049827506,0.512193293273968,0.13937501170878264
logistic_regression,wild_b,29,header,32,auc,0.9111863927407405,0.8236685511481483,0.08751784159259224
logistic_regression,wild_b,29,header,32,mix_at_10,0.09310308333333334,0.13150819444444445,-0.03840511111111111
logistic_regression,wild_b,29,header,32,js_divergence,0.10587690286421195,0.1029862142274511,0.002890688636760841
logistic_regression,wild_b,29,header,32,same_family_rate_at_10,0.677323669714742,0.6136554365714115,0.06366823314333048
logistic_regression,wild_b,29,header,64,auc,0.9442698369814815,0.856804444462963,0.08746539251851848
logistic_regression,wild_b,29,header,64,mix_at_10,0.07179708333333333,0.10956702777777778,-0.03776994444444445
logistic_regression,wild_b,29,header,64,js_divergence,0.09476460652437814,0.1424460991254039,-0.04768149260102576
logistic_regression,wild_b,29,header,64,same_family_rate_at_10,0.7049357850529321,0.6538280371435767,0.05110774790935535
logistic_regression,wild_b,29,imports,16,auc,0.6812833260925926,0.775988741074074,-0.09470541498148144
logistic_regression,wild_b,29,imports,16,mix_at_10,0.3629324722222222,0.2007988888888889,0.1621335833333333
logistic_regression,wild_b,29,imports,16,js_divergence,0.07474704976346827,0.0374310547822131,0.03731599498125517
logistic_regression,wild_b,29,imports,16,same_family_rate_at_10,0.3460251939060523,0.512193293273968,-0.1661680993679157
logistic_regression,wild_b,29,imports,32,auc,0.7166007753888889,0.8236685511481483,-0.10706777575925941
logistic_regression,wild_b,29,imports,32,mix_at_10,0.3056588333333333,0.13150819444444445,0.17415063888888888
logistic_regression,wild_b,29,imports,32,js_divergence,0.06840594916872937,0.1029862142274511,-0.034580265058721735
logistic_regression,wild_b,29,imports,32,same_family_rate_at_10,0.43625191420589643,0.6136554365714115,-0.1774035223655151
logistic_regression,wild_b,29,imports,64,auc,0.7884307975185185,0.856804444462963,-0.06837364694444448
logistic_regression,wild_b,29,imports,64,mix_at_10,0.22695494444444445,0.10956702777777778,0.11738791666666666
logistic_regression,wild_b,29,imports,64,js_divergence,0.05058904523953681,0.1424460991254039,-0.0918570538858671
logistic_regression,wild_b,29,imports,64,same_family_rate_at_10,0.5451363741660445,0.6538280371435767,-0.10869166297753219
logistic_regression,wild_b,29,section,16,auc,0.6926321255925926,0.775988741074074,-0.08335661548148143
logistic_regression,wild_b,29,section,16,mix_at_10,0.17090405555555557,0.2007988888888889,-0.029894833333333315
logistic_regression,wild_b,29,section,16,js_divergence,0.11273780274236386,0.0374310547822131,0.07530674796015077
logistic_regression,wild_b,29,section,16,same_family_rate_at_10,0.5700663322546292,0.512193293273968,0.05787303898066121
