model,view,seed,family,dimension,metric,family_seed_mean,family_percentile_in_null,n_null_repeats
logistic_regression,wild_b,31,imports,64,js_divergence,0.06372981955079168,0.4,10
logistic_regression,wild_b,31,imports,64,same_family_rate_at_10,0.5299213005677327,0.0,10
logistic_regression,wild_b,31,section,16,auc,0.7299799559166666,0.2,10
logistic_regression,wild_b,31,section,16,mix_at_10,0.17900272222222222,0.3,10
logistic_regression,wild_b,31,section,16,js_divergence,0.13341549732263056,0.5,10
logistic_regression,wild_b,31,section,16,same_family_rate_at_10,0.5505946482681792,0.6,10
logistic_regression,wild_b,31,section,32,auc,0.8396106632407406,0.8,10
logistic_regression,wild_b,31,section,32,mix_at_10,0.10526058333333335,0.1,10
logistic_regression,wild_b,31,section,32,js_divergence,0.1831635397160411,0.7,10
logistic_regression,wild_b,31,section,32,same_family_rate_at_10,0.6398869043938091,1.0,10
logistic_regression,wild_b,31,section,64,auc,0.8783660354814813,0.5,10
logistic_regression,wild_b,31,section,64,mix_at_10,0.08616230555555555,0.1,10
logistic_regression,wild_b,31,section,64,js_divergence,0.17436834585830185,0.5,10
logistic_regression,wild_b,31,section,64,same_family_rate_at_10,0.6724981121235457,0.9,10
logistic_regression,wild_b,31,strings,16,auc,0.7786234105555555,0.4,10
logistic_regression,wild_b,31,strings,16,mix_at_10,0.1369576388888889,0.0,10
logistic_regression,wild_b,31,strings,16,js_divergence,0.017515326547633332,0.2,10
logistic_regression,wild_b,31,strings,16,same_family_rate_at_10,0.5928428915622486,0.8,10
logistic_regression,wild_b,31,strings,32,auc,0.8456389963888888,0.9,10
logistic_regression,wild_b,31,strings,32,mix_at_10,0.11093236111111111,0.1,10
logistic_regression,wild_b,31,strings,32,js_divergence,0.020956671231977884,0.6,10
logistic_regression,wild_b,31,strings,32,same_family_rate_at_10,0.6245041529245281,0.8,10
logistic_regression,wild_b,31,strings,64,auc,0.8827537617962962,0.6,10
logistic_regression,wild_b,31,strings,64,mix_at_10,0.09652091666666666,0.3,10
logistic_regression,wild_b,31,strings,64,js_divergence,0.014130942354527627,0.2,10
logistic_regression,wild_b,31,strings,64,same_family_rate_at_10,0.6393238584307417,0.3,10
