family,model,feature_group,outcome,strength,status,path,n_seeds,weeks_per_seed,direction,raw_pvalue,paired_mean_delta,paired_median_delta,seed_min_delta,seed_max_delta,positive_seed_count,nonnegative_seed_count,seed_deltas_json,ci_low,ci_high,holm_adjusted_pvalue,random_repeats_per_seed
mlp_extension,MLP,header,auc_drop,0.01,ok,artifacts/MLP/results/5_3/mlp_rq2_targeted_masking_wild_b_main/masking_rows.csv,5,,greater,0.28125,0.008110148750000002,-0.011304384166666681,-0.01172785375000003,0.04199542124999989,2,2,"[-0.011304384167, -0.01172785375, 0.03330450375, -0.011716943333, 0.04199542125]",-0.011638795666666677,0.0295147648333333,0.9375,3
mlp_extension,MLP,header,auc_drop,0.05,ok,artifacts/MLP/results/5_3/mlp_rq2_targeted_masking_wild_b_main/masking_rows.csv,5,,greater,0.125,0.022793615000000034,0.029924674166666776,-0.0375152187499999,0.06832508333333329,4,4,"[0.029924674167, 0.068325083333, 0.038097565, -0.03751521875, 0.01513597125]",-0.010539261583333228,0.051641757249999976,0.9375,3
mlp_extension,MLP,header,auc_drop,0.1,ok,artifacts/MLP/results/5_3/mlp_rq2_targeted_masking_wild_b_main/masking_rows.csv,5,,greater,0.125,0.0860843734166666,0.03716379083333328,-0.04274219416666672,0.37657934916666663,4,4,"[-0.042742194167, 0.008491054167, 0.050929867083, 0.037163790833, 0.376579349167]",-0.012002245166666764,0.23783179374999994,0.9375,3
mlp_extension,MLP,section,auc_drop,0.01,ok,artifacts/MLP/results/5_3/mlp_rq2_targeted_masking_wild_b_main/masking_rows.csv,5,,greater,0.03125,0.13193634999999998,0.1135424075,0.08158111291666663,0.20524305666666676,5,5,"[0.165999235, 0.1135424075, 0.093315937917, 0.205243056667, 0.081581112917]",0.0926673018333333,0.1738479993333333,0.9375,3
mlp_extension,MLP,section,auc_drop,0.05,ok,artifacts/MLP/results/5_3/mlp_rq2_targeted_masking_wild_b_main/masking_rows.csv,5,,greater,0.03125,0.18274118758333333,0.17253283875000006,0.1282132541666666,0.23933102958333327,5,5,"[0.136899717917, 0.2367290975, 0.128213254167, 0.239331029583, 0.17253283875]",0.14055175658333333,0.22493061858333335,0.9375,3
mlp_extension,MLP,section,auc_drop,0.1,ok,artifacts/MLP/results/5_3/mlp_rq2_targeted_masking_wild_b_main/masking_rows.csv,5,,greater,0.03125,0.20607265283333337,0.21752071916666663,0.15694082583333344,0.27169940625000005,5,5,"[0.27169940625, 0.217520719167, 0.157254927083, 0.226947385833, 0.156940825833]",0.169182445,0.24296286066666672,0.9375,3
mlp_extension,MLP,imports,auc_drop,0.01,ok,artifacts/MLP/results/5_3/mlp_rq2_targeted_masking_wild_b_main/masking_rows.csv,5,,greater,0.03125,0.01867137066666662,0.014958199583333368,0.012582789583333143,0.033266360416666675,5,5,"[0.012582789583, 0.01911396375, 0.014958199583, 0.033266360417, 0.01343554]",0.013398971749999924,0.026469716999999986,0.9375,3
mlp_extension,MLP,imports,auc_drop,0.05,ok,artifacts/MLP/results/5_3/mlp_rq2_targeted_masking_wild_b_main/masking_rows.csv,5,,greater,0.03125,0.037007664416666655,0.04212409833333334,0.025306872083333192,0.043436140833333435,5,5,"[0.03198783875, 0.043436140833, 0.042124098333, 0.042183372083, 0.025306872083]",0.030018365416666574,0.04267262483333336,0.9375,3
mlp_extension,MLP,imports,auc_drop,0.1,ok,artifacts/MLP/results/5_3/mlp_rq2_targeted_masking_wild_b_main/masking_rows.csv,5,,greater,0.03125,0.05517421625000002,0.05007907500000005,0.044344170833333384,0.07534809875,5,5,"[0.04528510375, 0.07534809875, 0.044344170833, 0.050079075, 0.060814632917]",0.0458675248333334,0.06642880658333332,0.9375,3
mlp_extension,MLP,strings,auc_drop,0.01,ok,artifacts/MLP/results/5_3/mlp_rq2_targeted_masking_wild_b_main/masking_rows.csv,5,,greater,0.03125,0.08821449924999998,0.09608707083333334,0.004174282083333296,0.20532950000000005,5,5,"[0.096087070833, 0.2053295, 0.004174282083, 0.13068881, 0.004792833333]",0.022804260333333316,0.1536247381666666,0.9375,3
