seed,feature_group,test_week,perturbation_type,strength,trial_id,n_masked_features,flip_rate,benign_to_malware_rate,malware_to_benign_rate,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,2024-09-29_2024-10-05,random,0.05,5,4,0.002025,0.00095,0.0003,0.012991038745336945,0.000590138668877369,-0.012287785015178215
13,header,2024-09-29_2024-10-05,random,0.05,6,4,0.0148,0.004575,0.00465,0.1477068300678408,-0.012773164163026424,-0.1450545422466331
13,header,2024-09-29_2024-10-05,random,0.05,7,4,0.003175,0.000775,0.00155,0.014443835195886417,-0.004188518056755099,-0.013039533537905022
13,header,2024-09-29_2024-10-05,random,0.05,8,4,0.022925,0.0134,0.000275,0.0683123908266076,0.053053677709671614,-0.06186373175738661
13,header,2024-09-29_2024-10-05,random,0.05,9,4,0.054,0.02995,0.009425,0.14646410778356808,0.015156101087389922,-0.13658832752650038
13,header,2024-09-29_2024-10-05,random,0.05,10,4,0.0069,0.00425,0.00035,0.028257672810609903,-0.0013147123996853,-0.025158774456922318
13,header,2024-09-29_2024-10-05,random,0.05,11,4,0.067275,0.043375,0.0045,0.1116296297942912,0.05514315176328155,-0.08765499668180687
13,header,2024-09-29_2024-10-05,random,0.05,12,4,0.0299,0.01695,0.00235,0.10301915045837268,-0.00374473945941767,-0.09682524887474446
13,header,2024-09-29_2024-10-05,random,0.05,13,4,0.0146,0.00735,0.002025,0.10133864445361032,0.037274181485019604,-0.09846812550996281
13,header,2024-09-29_2024-10-05,random,0.05,14,4,5e-05,0.0,5e-05,0.00021420000000000035,-0.00019760000000000014,-0.0002006619047619049
13,header,2024-09-29_2024-10-05,random,0.05,15,4,0.024325,0.013525,0.001125,0.05855699458277537,0.01847725914447638,-0.05009139654643159
13,header,2024-09-29_2024-10-05,random,0.05,16,4,0.007075,0.003375,0.000975,0.05486162180818379,-0.014307451565818231,-0.05279688777471858
13,header,2024-09-29_2024-10-05,random,0.05,17,4,0.015375,0.002525,0.006575,0.08048823195125555,-0.04597630631018568,-0.07676164638290234
13,header,2024-09-29_2024-10-05,random,0.05,18,4,0.004675,0.00155,0.001775,0.026436278698843983,-5.81925516982034e-05,-0.025339894272489453
13,header,2024-09-29_2024-10-05,random,0.05,19,4,0.0083,0.00435,0.00095,0.018945839780599792,0.008836371731541004,-0.014689265375079157
13,header,2024-09-29_2024-10-05,random,0.05,20,4,0.007025,0.0039,0.000675,0.024259355001562854,-0.0029766206918177096,-0.021111086786553646
13,header,2024-09-29_2024-10-05,random,0.1,1,8,0.051175,0.025725,0.009825,0.16128786409207943,-0.03923648880968612,-0.15052303520166596
13,header,2024-09-29_2024-10-05,random,0.1,2,8,0.073275,0.047125,0.0024,0.21730567313007346,-0.003982472577140774,-0.2009113369549522
13,header,2024-09-29_2024-10-05,random,0.1,3,8,0.033675,0.01915,0.00225,0.08762636914300465,0.022351548033150277,-0.07562315537886719
13,header,2024-09-29_2024-10-05,random,0.1,4,8,0.041875,0.022325,0.005775,0.12130329273549896,0.01600054886067105,-0.11112599206936684
13,header,2024-09-29_2024-10-05,random,0.1,5,8,0.007825,0.000925,0.00335,0.07550072771518744,-0.048637640559059864,-0.07342155900592984
13,header,2024-09-29_2024-10-05,random,0.1,6,8,0.049775,0.00175,0.03775,0.2414197366148344,-0.062371001743413396,-0.23406951420676134
13,header,2024-09-29_2024-10-05,random,0.1,7,8,0.0226,0.0118,0.00125,0.10432836482151926,0.02449807244668854,-0.09892909782823855
13,header,2024-09-29_2024-10-05,random,0.1,8,8,0.036725,0.022275,0.001225,0.08266634226470669,0.039730407461155685,-0.06880053956569596
13,header,2024-09-29_2024-10-05,random,0.1,9,8,0.042325,0.0173,0.012225,0.11972706936430998,-0.013235622999735816,-0.10848193247808068
13,header,2024-09-29_2024-10-05,random,0.1,10,8,0.0093,0.00315,0.002475,0.09894182295730847,-0.05891343817129117,-0.09668490131315226
13,header,2024-09-29_2024-10-05,random,0.1,11,8,0.0762,0.043675,0.01065,0.16247588135683677,-0.004828617070295488,-0.14561799409362453
13,header,2024-09-29_2024-10-05,random,0.1,12,8,0.027225,0.004825,0.014275,0.14967030940933937,-0.09001692941936101,-0.1432862999202466
13,header,2024-09-29_2024-10-05,random,0.1,13,8,0.012525,0.003125,0.0042,0.1334248632921072,-0.046745618813523314,-0.1305108018994352
13,header,2024-09-29_2024-10-05,random,0.1,14,8,0.042125,0.020975,0.0099,0.1492798022610671,-0.015872991027405404,-0.14037512756314113
13,header,2024-09-29_2024-10-05,random,0.1,15,8,0.029425,0.0092,0.0115,0.15745542084663935,-0.07523655611092642,-0.14907938237890933
13,header,2024-09-29_2024-10-05,random,0.1,16,8,0.024325,0.01155,0.0036,0.15075045620305727,-0.007385477845666843,-0.14634817046575307
13,header,2024-09-29_2024-10-05,random,0.1,17,8,0.115075,0.083225,0.00175,0.16129877110778465,0.09055888264909558,-0.11463754996570578
