feature_group,test_week,perturbation_type,strength,n_trials,n_masked_features,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,benign_to_malware_rate_mean,benign_to_malware_rate_std,benign_to_malware_rate_min,benign_to_malware_rate_max,malware_to_benign_rate_mean,malware_to_benign_rate_std,malware_to_benign_rate_min,malware_to_benign_rate_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max,mean_margin_shift_mean,mean_margin_shift_std,mean_margin_shift_min,mean_margin_shift_max
header,2024-10-06_2024-10-12,random,0.1,100,8,0.04594275,0.0315581202495887,0.00295,0.13415,0.022353,0.024175726793625046,0.000575,0.0944,0.008565249999999998,0.009729144936092792,0.000175,0.0722,0.12870294155142267,0.0480266739398068,0.017600572356661383,0.2555620550205166,0.0029429815567809108,0.0517145358126592,-0.10230880168130131,0.1216300043936395,-0.1148800249970728,0.04423903571576412,-0.24240472502189978,-0.016169344774087976
header,2024-10-13_2024-10-19,baseline,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,2024-10-13_2024-10-19,important,0.01,5,1,0.02448,0.016162498259860693,0.007075,0.051,0.017404999999999997,0.012375867646351103,0.002725,0.0346,0.00098,0.0008434156745045706,5e-05,0.002325,0.05115468345712722,0.0278991817206887,0.016892025268591737,0.07826482299936854,0.03927028040577316,0.03646914594571388,-0.005279923474932506,0.07709690299936854,-0.04227382154591004,0.025413450600834404,-0.0735638568445639,-0.014211363132699842
header,2024-10-13_2024-10-19,important,0.05,5,4,0.130805,0.007200996458824294,0.120275,0.140825,0.10058,0.00658121189447658,0.0907,0.110375,0.004179999999999999,0.000980357077803797,0.003,0.005975,0.19266123241053631,0.005113922248387405,0.18658512309715738,0.2008679911686639,0.13441929534495628,0.007811391834715845,0.12425478969463147,0.14735664913099472,-0.1530530212554722,0.002598596916435396,-0.15811984485185032,-0.15111099016383991
header,2024-10-13_2024-10-19,important,0.1,5,8,0.186335,0.023653639254880007,0.156025,0.22115,0.127095,0.028670282523895713,0.096875,0.1802,0.028650000000000002,0.027059688653049946,0.006,0.080425,0.32916376989760754,0.01972625647032541,0.29815329829897314,0.3488297588199127,0.06795844810357793,0.026980320368147192,0.031314938125789636,0.10687253704799139,-0.3025325397847068,0.025578761906288702,-0.32693054817078054,-0.2703249414546869
header,2024-10-13_2024-10-19,random,0.01,100,1,0.008062250000000002,0.012576148801898775,0.0,0.05405,0.0038535,0.00788924506844603,0.0,0.0388,0.00134725,0.0024898516396564675,0.0,0.0132,0.026711828705452474,0.029172741092881812,1.169203622808368e-19,0.08958149027395942,0.00035398274160177405,0.027751192603878837,-0.05794357678980257,0.07281255344401766,-0.023434051927269602,0.025420831871506667,-0.07829436653033069,6.4500000000000196e-06
header,2024-10-13_2024-10-19,random,0.05,100,4,0.025274250000000005,0.020657827951832207,0.000375,0.096425,0.01331025,0.014628439379766387,0.0,0.072275,0.003656,0.005039258526807293,2.5e-05,0.03505,0.07849093453747574,0.04302382664843817,0.002404464357113963,0.16744651047823628,0.007348504593135034,0.04066509174750036,-0.09740792719694684,0.0878603343106165,-0.07005096103103868,0.039219149073971844,-0.16014368439245194,-0.0021401562006335426
header,2024-10-13_2024-10-19,random,0.1,100,8,0.0485105,0.027698965273995346,0.00385,0.1393,0.027049999999999998,0.02342638736553291,0.0006,0.110925,0.0075205,0.00791453045038049,0.000325,0.0527,0.1400920556814196,0.05195734002373608,0.02701631327033648,0.29380256078011335,0.0071807196777530806,0.04931300818625483,-0.09661275587143822,0.16312957084087626,-0.12709967108063405,0.05013294091644726,-0.28064560371937697,-0.022400027252709766
header,2024-10-20_2024-10-26,baseline,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,2024-10-20_2024-10-26,important,0.01,5,1,0.0236,0.016544069934571724,0.00635,0.05095,0.01658,0.012085015515091406,0.002425,0.033325,0.0007350000000000001,0.0006528016544096683,2.5e-05,0.001825,0.050727173209516654,0.02616538950410422,0.018369353629261367,0.07572200139654547,0.03707584915205053,0.03580705190140294,-0.007066055001631932,0.07431600139654548,-0.0423765638277678,0.023283449927572693,-0.07120395631494905,-0.015647306284727592
header,2024-10-20_2024-10-26,important,0.05,5,4,0.131585,0.010114180639082936,0.120075,0.148325,0.10203,0.008435777972421985,0.091975,0.11485,0.0035449999999999995,0.0006860029154456998,0.0029,0.004875,0.19555372914475772,0.005297172819085924,0.1906438635452127,0.20528598793742467,0.12948921705170277,0.008023354864721588,0.1193457725299851,0.14353647545672207,-0.1560475898213556,0.0031593812307584954,-0.1619705839522931,-0.15328742306892276
header,2024-10-20_2024-10-26,important,0.1,5,8,0.18932500000000002,0.023816806041113067,0.166875,0.224875,0.126185,0.025670706067422458,0.097025,0.172825,0.032095,0.0340842060197975,0.00375,0.09815,0.33181205962776206,0.01964842200050105,0.30156987493942955,0.35147568030540033,0.06558925850758175,0.02721076620500452,0.026808465123024126,0.10352695953729428,-0.3046306507344405,0.025837804179498297,-0.32998695210970097,-0.271997659273194
header,2024-10-20_2024-10-26,random,0.01,100,1,0.007261749999999999,0.011026720078405002,0.0,0.039925,0.003125,0.006088838148612591,0.0,0.025,0.0013942499999999999,0.0026747473128316255,0.0,0.01745,0.023342826994036284,0.027877201042268353,8.239936510889834e-20,0.08845710365962724,0.0010166565686797276,0.02075888367732466,-0.06286802991038469,0.06859842386415052,-0.020425406778890775,0.024523450384490355,-0.084101233219857,1.0408340855860842e-19
header,2024-10-20_2024-10-26,random,0.05,100,4,0.020149249999999997,0.016667078873860892,0.000525,0.08795,0.00936675,0.011314041085637792,0.0001,0.066175,0.003864,0.004254368813349402,0.0,0.022075,0.0673828666332017,0.03796854500704367,0.002028356422472626,0.15830144445247749,0.002098813395766163,0.03638513923967125,-0.10320545832442869,0.1291616045153604,-0.06030035525920414,0.03486642011531801,-0.14985334563257163,-0.001827441068541249
header,2024-10-20_2024-10-26,random,0.1,100,8,0.048431499999999995,0.03434460995192696,0.003075,0.16845,0.028326000000000004,0.028582714382997285,0.00035,0.135675,0.00654975,0.0063980919958609534,0.000225,0.040975,0.1414699024591444,0.05002174119311924,0.007712138304656084,0.2515287758603074,0.007883927636430598,0.05260896670820274,-0.08599229885825815,0.15952997871216879,-0.12889833155670025,0.04590212931248225,-0.23740678516116567,-0.006625061907179588
header,2024-10-27_2024-11-02,baseline,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,2024-10-27_2024-11-02,important,0.01,5,1,0.029814999999999998,0.01970917679660924,0.007775,0.0593,0.0175,0.012165679183670758,0.002675,0.03305,0.00118,0.001144486784545807,0.000125,0.00325,0.053420508441333434,0.02834627500995117,0.01859871732727483,0.07747925834681503,0.0400900233662968,0.0374132559966087,-0.006371357505877679,0.07600370095333134,-0.041400916053760464,0.023408525133847974,-0.06949011961335443,-0.015522489054767141
header,2024-10-27_2024-11-02,important,0.05,5,4,0.14792500000000003,0.008810008513049231,0.135,0.158175,0.1011,0.006587450189565002,0.091075,0.109175,0.00504,0.001138485836539041,0.00315,0.0067,0.20765650829316623,0.005896526199799235,0.19909939249110276,0.2170285971572902,0.14142813467208715,0.008723228026007218,0.1291834191082618,0.15540859375718305,-0.15667847372563498,0.002853770185524111,-0.16179057499104424,-0.15374206857477749
header,2024-10-27_2024-11-02,important,0.1,5,8,0.21012,0.02309605702279071,0.18925,0.24605,0.130225,0.030093333979471268,0.096775,0.186225,0.03357,0.030625256733617764,0.0047,0.0912,0.32563760369678485,0.015108115147848003,0.30132544942421285,0.34026271153297355,0.08895110658810941,0.026614524275943435,0.05039712658340391,0.12684770731958941,-0.2936939651364411,0.022582454742010337,-0.3149211614872566,-0.2656780676201055
header,2024-10-27_2024-11-02,random,0.01,100,1,0.0055875,0.01003989074890758,0.0,0.0593,0.0020924999999999997,0.005153199855429633,0.0,0.03305,0.001144,0.002194932003502614,0.0,0.01865,0.014561334252457092,0.02014725104616421,1.7763568394002505e-19,0.07823457688334881,0.0014670989770738474,0.015621485775755742,-0.04025547113397044,0.0666397117741379,-0.01209938705500612,0.016589945913861297,-0.06362033673261078,3.999999999999282e-07
