model,view,seed,family,dimension,subset_repeat,sampling_mode,subset_indices_hash,auc,mix_at_10,js_divergence,same_family_rate_at_10
lightgbm,wild_b,13,section,64,6,family_random,44480ae6af934948,0.9755906420370369,0.08372000000000002,0.23261418040120188,0.6712974189318043
lightgbm,wild_b,13,section,64,7,family_random,c907fbcb63e71263,0.9580762090740742,0.10647694444444444,0.3283517330901709,0.659151684400239
lightgbm,wild_b,13,section,64,8,family_random,f1bcdeb168281d6d,0.9750041425925926,0.08455583333333333,0.3675711369247963,0.6782154679433271
lightgbm,wild_b,13,section,64,9,family_random,5f5a059ea3df9fe0,0.969979454814815,0.08933,0.21334709719594913,0.6761880379724506
lightgbm,wild_b,13,imports,16,0,family_random,8d89a4f6303dca30,0.6768530279629629,0.40211916666666664,0.049289352430499124,0.24793967644852155
lightgbm,wild_b,13,imports,16,1,family_random,b810e90c81357384,0.7033278925925927,0.39025,0.09830200495184428,0.33209959911426284
lightgbm,wild_b,13,imports,16,2,family_random,7303235fd1f584e9,0.7741998055555556,0.3384941666666667,0.05630381499246551,0.3594950144459432
lightgbm,wild_b,13,imports,16,3,family_random,e8a0c8ce076f40df,0.723359064074074,0.37876611111111114,0.07145625621028205,0.34789954645782367
lightgbm,wild_b,13,imports,16,4,family_random,e81ba84085447c1e,0.7088604798148147,0.3687186111111111,0.09537552147352933,0.3623692056053766
lightgbm,wild_b,13,imports,16,5,family_random,b3f81a40d80d8004,0.6931264333333332,0.3937613888888889,0.05684121539923847,0.22939029634380084
lightgbm,wild_b,13,imports,16,6,family_random,f5e7818213d1a8e9,0.8169236077777778,0.3138522222222222,0.06470075117231745,0.23687266683914865
lightgbm,wild_b,13,imports,16,7,family_random,72c6000e471d196b,0.7202685727777777,0.3814647222222222,0.04042947801932425,0.3579344176897623
lightgbm,wild_b,13,imports,16,8,family_random,ffcc560e9ef1ca05,0.7546560398148148,0.36642472222222217,0.11664314145611937,0.3569884740178652
lightgbm,wild_b,13,imports,16,9,family_random,65b83f398d8aaad1,0.7118530505555555,0.3794308333333334,0.0850711041421894,0.2584692268439169
lightgbm,wild_b,13,imports,32,0,family_random,f2f78394d7b169f2,0.7838449059259259,0.31700944444444445,0.08145268942636427,0.42866499459444385
