mix_k,scope,feature_group,metric,mean,std,min,max
10,rank,strings,acc_rank,4.0,0.0,4.0,4.0
10,rank,strings,mix_at_k_rank,4.0,0.0,4.0,4.0
10,rank,strings,silhouette_rank,3.0833333333333335,0.2763853991962833,3.0,4.0
10,rank,strings,js_divergence_rank,5.0,0.0,5.0,5.0
10,metric,all,acc,0.9487236535348439,0.0071751586751483635,0.9332470802153997,0.9616657003512841
10,metric,all,f1,0.9450705266049652,0.008399770891140012,0.9265571500019236,0.9600426590828297
10,metric,all,auc,0.9909831025794735,0.0024401728051801448,0.9857506478817831,0.994789786560529
10,metric,all,positive_rate,0.4559962698607874,0.009933006893857357,0.4325826980907756,0.4709593806486818
10,metric,all,mix_at_k,0.06844292930694942,0.00479732690769155,0.05995702738651478,0.07363798593372756
10,metric,all,silhouette,0.038232888402047,0.01968876868203508,0.01693706582145977,0.08589104477764954
10,metric,all,js_divergence,0.08161310109536665,0.012899350029196226,0.06066059735500155,0.10107829624622962
10,rank,all,auc_rank,1.0,0.0,1.0,1.0
10,rank,all,acc_rank,1.05,0.21794494717703367,1.0,2.0
10,rank,all,mix_at_k_rank,1.0833333333333333,0.27638539919628335,1.0,2.0
10,rank,all,silhouette_rank,4.083333333333333,0.4930066485916347,3.0,5.0
10,rank,all,js_divergence_rank,1.8333333333333333,0.372677996249965,1.0,2.0
15,metric,header,acc,0.9332391470715644,0.01083325332527229,0.909504161130149,0.9504450734968112
15,metric,header,f1,0.9279623496068174,0.01298233065843743,0.8987718063052491,0.948319402454206
15,metric,header,auc,0.9831527601776926,0.004655022741932377,0.9751100759755108,0.9900966599166726
15,metric,header,positive_rate,0.4504083174719422,0.014115120978029489,0.41849080355269597,0.470447801916715
15,metric,header,mix_at_k,0.0805951774251851,0.006358571969949164,0.06977251799051874,0.08947828825361279
15,metric,header,silhouette,0.12103041119316033,0.039105979057229186,0.07182004170069839,0.2052412202235234
15,metric,header,js_divergence,0.08118852304310303,0.013029238071534437,0.06039933059953649,0.1007729307809958
15,rank,header,auc_rank,3.0,0.0,3.0,3.0
15,rank,header,acc_rank,3.0,0.0,3.0,3.0
15,rank,header,mix_at_k_rank,2.183333333333333,0.6950219820664347,1.0,3.0
15,rank,header,silhouette_rank,1.0,0.0,1.0,1.0
15,rank,header,js_divergence_rank,2.8333333333333335,0.372677996249965,2.0,3.0
15,metric,section,acc,0.9445848175573991,0.008402440670818119,0.9308079396142018,0.9587667542034719
15,metric,section,f1,0.9407765847229509,0.009636443810374238,0.9252964725432434,0.9569613043323484
15,metric,section,auc,0.9886653982702236,0.0032190354182679553,0.9828539549064444,0.9936571887438028
15,metric,section,positive_rate,0.4581210449257261,0.008019094331289023,0.4422337226379467,0.46990110609558594
15,metric,section,mix_at_k,0.08083303695991773,0.005429468501850474,0.07139138046678717,0.09043470147077691
15,metric,section,silhouette,0.08097726072916787,0.018442940345355225,0.05921981064702258,0.12413304836963601
15,metric,section,js_divergence,0.10351996533326167,0.03726262647343503,0.054519615560427184,0.20103319123678642
15,rank,section,auc_rank,2.0,0.0,2.0,2.0
15,rank,section,acc_rank,1.95,0.21794494717703367,1.0,2.0
15,rank,section,mix_at_k_rank,2.466666666666667,0.669991708074726,1.0,3.0
15,rank,section,silhouette_rank,2.0,0.0,2.0,2.0
15,rank,section,js_divergence_rank,1.3333333333333333,0.74535599249993,1.0,3.0
15,metric,imports,acc,0.8724268218991429,0.015904606581141897,0.8392103004291845,0.8971044643770676
15,metric,imports,f1,0.8519196712418289,0.0221578102920808,0.8046851622280169,0.8861638305097536
15,metric,imports,auc,0.9303252671483688,0.009637321704672566,0.9112483657817111,0.9438516693831185
15,metric,imports,positive_rate,0.385210535747276,0.020038256639860585,0.34339899926519474,0.4161522458306333
15,metric,imports,mix_at_k,0.16794985316425776,0.018149725135481055,0.1353671430033082,0.21173562231759657
15,metric,imports,silhouette,0.03179187151741178,0.019516119468932527,0.013194434960076667,0.08060702848216857
15,metric,imports,js_divergence,0.037776618491332674,0.00827582107669139,0.024563529926045154,0.05480393614630924
15,rank,imports,auc_rank,5.0,0.0,5.0,5.0
15,rank,imports,acc_rank,5.0,0.0,5.0,5.0
