seed,feature_group,mask_type,strength,repeat,n_masked_features,baseline_auc,masked_auc,delta_auc,flip_rate,malware_to_benign_flip_rate,benign_to_malware_flip_rate,mean_probability_shift,mean_signed_probability_shift,threshold
77,all,random,0.05,2,88,0.98776785625,0.98614482875,0.001623027499999985,0.01615,0.002725,0.013425,0.017124149429619935,0.011126327696179286,0.5
77,all,random,0.05,3,88,0.98776785625,0.9872149287499999,0.0005529275000000222,0.0281,0.02675,0.00135,0.030578048989019713,-0.026369382841697132,0.5
77,all,important,0.1,0,176,0.98776785625,0.8426894875000001,0.1450783687499999,0.3401,0.005675,0.334425,0.33464040904218223,0.32146199537437214,0.5
77,all,random,0.1,1,176,0.98776785625,0.9829379125000002,0.004829943749999788,0.04465,0.041425,0.003225,0.05012312510033098,-0.04030907593971275,0.5
77,all,random,0.1,2,176,0.98776785625,0.9765649675,0.011202888749999973,0.210825,0.210825,0.0,0.20428263486736165,-0.20427621055415926,0.5
77,all,random,0.1,3,176,0.98776785625,0.9811994575,0.006568398749999926,0.063625,0.000175,0.06345,0.0671590101569818,0.06650241004794649,0.5
77,header,important,0.01,0,1,0.9777994225,0.9436614012499999,0.034138021250000095,0.241425,0.000975,0.24045,0.22842303627601213,0.22671158407783024,0.5
77,header,random,0.01,1,1,0.9777994225,0.976965905,0.0008335174999999362,0.0059,0.003825,0.002075,0.004553589400979653,-0.0012788274083889543,0.5
77,header,random,0.01,2,1,0.9777994225,0.976965905,0.0008335174999999362,0.0059,0.003825,0.002075,0.004553589400979653,-0.0012788274083889543,0.5
77,header,random,0.01,3,1,0.9777994225,0.976965905,0.0008335174999999362,0.0059,0.003825,0.002075,0.004553589400979653,-0.0012788274083889543,0.5
77,header,important,0.05,0,4,0.9777994225,0.8870811525,0.09071826999999999,0.30395,0.30255,0.0014,0.29855200801168175,-0.29529659806121183,0.5
77,header,random,0.05,1,4,0.9777994225,0.8684111175,0.10938830499999996,0.41875,0.418375,0.000375,0.3894179812364526,-0.38342400617690503,0.5
77,header,random,0.05,2,4,0.9777994225,0.94131430125,0.03648512124999992,0.213025,0.0021,0.210925,0.19208065718515163,0.1854541590332788,0.5
77,header,random,0.05,3,4,0.9777994225,0.9658107337499999,0.011988688750000032,0.06955,0.0461,0.02345,0.072472526518494,-0.030175603421231604,0.5
77,header,important,0.1,0,8,0.9777994225,0.8674381050000001,0.11036131749999989,0.214025,0.02775,0.186275,0.22593878831166744,0.163185644454895,0.5
77,header,random,0.1,1,8,0.9777994225,0.9209757475,0.05682367499999996,0.148775,0.10775,0.041025,0.17671192675375774,-0.08001300325056741,0.5
77,header,random,0.1,2,8,0.9777994225,0.93419430125,0.043605121249999934,0.222625,0.003975,0.21865,0.2053794579589012,0.19233983116518757,0.5
77,header,random,0.1,3,8,0.9777994225,0.8999338674999999,0.07786555500000003,0.30465,0.003225,0.301425,0.313089856384425,0.23294830080357282,0.5
77,section,important,0.01,0,3,0.97537209625,0.88174979875,0.09362229749999995,0.1733,0.163875,0.009425,0.19956493816462986,-0.11650635166956168,0.5
77,section,random,0.01,1,3,0.97537209625,0.9753756725000001,-3.576250000136838e-06,0.000825,0.000775,5e-05,0.0007754360640786955,-0.0005274115001325946,0.5
77,section,random,0.01,2,3,0.97537209625,0.9746330024999998,0.0007390937500001415,0.001425,0.000225,0.0012,0.001739669727986707,0.0012721818976545209,0.5
77,section,random,0.01,3,3,0.97537209625,0.9751885349999999,0.00018356125000007495,0.003825,0.00215,0.001675,0.0035797346777110242,6.412816777227174e-05,0.5
77,section,important,0.05,0,12,0.97537209625,0.8378290512500001,0.13754304499999992,0.1803,0.120525,0.059775,0.24753823680902629,-0.026949164189089835,0.5
77,section,random,0.05,1,12,0.97537209625,0.9552790525,0.020093043749999984,0.14705,0.001875,0.145175,0.1351319622736134,0.1315602508531994,0.5
77,section,random,0.05,2,12,0.97537209625,0.9675428337499999,0.007829262500000045,0.095425,0.0004,0.095025,0.09013256923648773,0.08831845516208739,0.5
77,section,random,0.05,3,12,0.97537209625,0.97530503,6.706624999996968e-05,0.00415,0.00175,0.0024,0.003804044515679436,0.0003923413268974174,0.5
77,section,important,0.1,0,23,0.97537209625,0.7983523050000001,0.1770197912499999,0.427225,0.0744,0.352825,0.32146803504900545,0.13487484108878042,0.5
77,section,random,0.1,1,23,0.97537209625,0.9707134550000001,0.004658641249999929,0.056225,0.050625,0.0056,0.059431909298872744,-0.04522000174199232,0.5
77,section,random,0.1,2,23,0.97537209625,0.942028905,0.03334319124999996,0.161625,0.016825,0.1448,0.14414050141345117,0.1155381156942306,0.5
77,section,random,0.1,3,23,0.97537209625,0.95407933625,0.02129276000000002,0.186175,0.186,0.000175,0.1732832445899229,-0.17250772709912704,0.5
77,imports,important,0.01,0,13,0.9244942937499998,0.90968295625,0.014811337499999855,0.0618,0.05765,0.00415,0.05507395733746805,-0.038234539889962046,0.5
77,imports,random,0.01,1,13,0.9244942937499998,0.92424475375,0.0002495399999997705,0.003625,0.0025,0.001125,0.0037159458470683005,-0.0018537535343855723,0.5
77,imports,random,0.01,2,13,0.9244942937499998,0.9250261824999999,-0.0005318887500000979,0.005725,0.003,0.002725,0.005619636303962734,0.0007221697923228133,0.5
77,imports,random,0.01,3,13,0.9244942937499998,0.92465253125,-0.00015823750000021342,0.006875,0.0014,0.005475,0.0066722879242614355,0.0026310900398968705,0.5
77,imports,important,0.05,0,65,0.9244942937499998,0.88038577875,0.04410851499999979,0.1077,0.1049,0.0028,0.09402174176999988,-0.07942448376689067,0.5
77,imports,random,0.05,1,65,0.9244942937499998,0.92126414875,0.003230144999999851,0.012775,0.005225,0.00755,0.014488325888741676,0.0029148412135117487,0.5
77,imports,random,0.05,2,65,0.9244942937499998,0.9235240125,0.0009702812499997604,0.0113,0.00515,0.00615,0.011881031220879648,0.00019867179817825015,0.5
77,imports,random,0.05,3,65,0.9244942937499998,0.9227414700000001,0.0017528237499997434,0.0143,0.0065,0.0078,0.015492200311708348,0.0016255388602732005,0.5
