model,view,seed,family,dimension,metric,family_seed_mean,null_seed_mean,paired_difference
lightgbm,wild_b,29,imports,32,same_family_rate_at_10,0.43624506095066734,0.6136572812347619,-0.1774122202840946
lightgbm,wild_b,29,imports,64,auc,0.8558206501851853,0.9557426964074075,-0.09992204622222223
lightgbm,wild_b,29,imports,64,mix_at_10,0.2269425,0.10956702777777778,0.11737547222222221
lightgbm,wild_b,29,imports,64,js_divergence,0.05058904523953681,0.1424460991254039,-0.0918570538858671
lightgbm,wild_b,29,imports,64,same_family_rate_at_10,0.5451329186468716,0.6538279750425757,-0.10869505639570409
lightgbm,wild_b,29,section,16,auc,0.901327206611111,0.883697764574074,0.01762944203703698
lightgbm,wild_b,29,section,16,mix_at_10,0.1709026111111111,0.2008039722222222,-0.029901361111111108
lightgbm,wild_b,29,section,16,js_divergence,0.11273780274236386,0.0374310547822131,0.07530674796015077
lightgbm,wild_b,29,section,16,same_family_rate_at_10,0.5700661799471753,0.5122729406068359,0.05779323934033942
lightgbm,wild_b,29,section,32,auc,0.9489727547407407,0.9375468675925926,0.011425887148148073
lightgbm,wild_b,29,section,32,mix_at_10,0.12096105555555556,0.13151105555555556,-0.010550000000000004
lightgbm,wild_b,29,section,32,js_divergence,0.15809052051390743,0.1029862142274511,0.05510430628645632
lightgbm,wild_b,29,section,32,same_family_rate_at_10,0.6250181947699103,0.6136572812347619,0.011360913535148343
lightgbm,wild_b,29,section,64,auc,0.9750719811666668,0.9557426964074075,0.019329284759259324
lightgbm,wild_b,29,section,64,mix_at_10,0.08278383333333332,0.10956702777777778,-0.026783194444444464
lightgbm,wild_b,29,section,64,js_divergence,0.14426675432921982,0.1424460991254039,0.001820655203815913
lightgbm,wild_b,29,section,64,same_family_rate_at_10,0.6756881747688078,0.6538279750425757,0.0218601997262321
lightgbm,wild_b,29,strings,16,auc,0.9416242303148147,0.883697764574074,0.057926465740740674
lightgbm,wild_b,29,strings,16,mix_at_10,0.13177600000000003,0.2008039722222222,-0.06902797222222218
lightgbm,wild_b,29,strings,16,js_divergence,0.03201821229835798,0.0374310547822131,-0.005412842483855117
lightgbm,wild_b,29,strings,16,same_family_rate_at_10,0.5927767897853471,0.5122729406068359,0.08050384917851117
lightgbm,wild_b,29,strings,32,auc,0.9596172463518519,0.9375468675925926,0.022070378759259213
lightgbm,wild_b,29,strings,32,mix_at_10,0.11174188888888889,0.13151105555555556,-0.01976916666666667
lightgbm,wild_b,29,strings,32,js_divergence,0.023170847063643595,0.1029862142274511,-0.07981536716380751
lightgbm,wild_b,29,strings,32,same_family_rate_at_10,0.6244864130582718,0.6136572812347619,0.010829131823509863
lightgbm,wild_b,29,strings,64,auc,0.9697967685555555,0.9557426964074075,0.014054072148148022
lightgbm,wild_b,29,strings,64,mix_at_10,0.09823066666666666,0.10956702777777778,-0.011336361111111123
lightgbm,wild_b,29,strings,64,js_divergence,0.01014704476557383,0.1424460991254039,-0.13229905435983008
lightgbm,wild_b,29,strings,64,same_family_rate_at_10,0.6398716373111185,0.6538279750425757,-0.013956337731457213
lightgbm,wild_b,31,header,16,auc,0.9283345042777776,0.8681782191481482,0.06015628512962945
lightgbm,wild_b,31,header,16,mix_at_10,0.1494098888888889,0.21382691666666664,-0.06441702777777775
lightgbm,wild_b,31,header,16,js_divergence,0.07344353176070546,0.19523355587871302,-0.12179002411800756
lightgbm,wild_b,31,header,16,same_family_rate_at_10,0.5835736462221134,0.5046571762982159,0.07891646992389745
lightgbm,wild_b,31,header,32,auc,0.9693916491851853,0.919692457462963,0.04969919172222226
lightgbm,wild_b,31,header,32,mix_at_10,0.0881611111111111,0.15310522222222223,-0.06494411111111112
lightgbm,wild_b,31,header,32,js_divergence,0.05678384662265212,0.0954202878620216,-0.038636441239369476
lightgbm,wild_b,31,header,32,same_family_rate_at_10,0.6893166711645831,0.5794581095692101,0.109858561595373
lightgbm,wild_b,31,header,64,auc,0.9803944308518519,0.9587587882222219,0.021635642629629914
lightgbm,wild_b,31,header,64,mix_at_10,0.07233563888888889,0.10458705555555556,-0.03225141666666667
lightgbm,wild_b,31,header,64,js_divergence,0.0806485517611339,0.18286024646222274,-0.10221169470108883
lightgbm,wild_b,31,header,64,same_family_rate_at_10,0.7053596675538256,0.6503521397544103,0.05500752779941531
lightgbm,wild_b,31,imports,16,auc,0.7156534569814814,0.8681782191481482,-0.15252476216666677
lightgbm,wild_b,31,imports,16,mix_at_10,0.37492030555555556,0.21382691666666664,0.1610933888888889
lightgbm,wild_b,31,imports,16,js_divergence,0.07145808069530359,0.19523355587871302,-0.12377547518340944
lightgbm,wild_b,31,imports,16,same_family_rate_at_10,0.3332591967162931,0.5046571762982159,-0.17139797958192282
lightgbm,wild_b,31,imports,32,auc,0.788799367537037,0.919692457462963,-0.13089308992592597
lightgbm,wild_b,31,imports,32,mix_at_10,0.30250444444444446,0.15310522222222223,0.14939922222222224
lightgbm,wild_b,31,imports,32,js_divergence,0.06970960467756541,0.0954202878620216,-0.025710683184456185
lightgbm,wild_b,31,imports,32,same_family_rate_at_10,0.45018507022184534,0.5794581095692101,-0.12927303934736473
lightgbm,wild_b,31,imports,64,auc,0.8420674492222222,0.9587587882222219,-0.11669133899999973
lightgbm,wild_b,31,imports,64,mix_at_10,0.24445175,0.10458705555555556,0.13986469444444444
lightgbm,wild_b,31,imports,64,js_divergence,0.06372981955079168,0.18286024646222274,-0.11913042691143105
lightgbm,wild_b,31,imports,64,same_family_rate_at_10,0.5299214258245091,0.6503521397544103,-0.12043071392990123
lightgbm,wild_b,31,section,16,auc,0.8944283556851851,0.8681782191481482,0.026250136537036894
lightgbm,wild_b,31,section,16,mix_at_10,0.17899958333333332,0.21382691666666664,-0.03482733333333332
lightgbm,wild_b,31,section,16,js_divergence,0.13341549732263056,0.19523355587871302,-0.06181805855608247
lightgbm,wild_b,31,section,16,same_family_rate_at_10,0.550547727984256,0.5046571762982159,0.04589055168604006
lightgbm,wild_b,31,section,32,auc,0.9581572866296296,0.919692457462963,0.0384648291666666
lightgbm,wild_b,31,section,32,mix_at_10,0.10525316666666666,0.15310522222222223,-0.047852055555555564
lightgbm,wild_b,31,section,32,js_divergence,0.1831635397160411,0.0954202878620216,0.0877432518540195
lightgbm,wild_b,31,section,32,same_family_rate_at_10,0.6398835994083912,0.5794581095692101,0.06042548983918117
lightgbm,wild_b,31,section,64,auc,0.9713597166481481,0.9587587882222219,0.012600928425926194
lightgbm,wild_b,31,section,64,mix_at_10,0.08616225,0.10458705555555556,-0.018424805555555562
lightgbm,wild_b,31,section,64,js_divergence,0.17436834585830185,0.18286024646222274,-0.008491900603920882
lightgbm,wild_b,31,section,64,same_family_rate_at_10,0.6724964761997565,0.6503521397544103,0.02214433644534619
lightgbm,wild_b,31,strings,16,auc,0.9350293613703705,0.8681782191481482,0.06685114222222233
lightgbm,wild_b,31,strings,16,mix_at_10,0.1369576388888889,0.21382691666666664,-0.07686927777777774
lightgbm,wild_b,31,strings,16,js_divergence,0.017515326547633332,0.19523355587871302,-0.1777182293310797
lightgbm,wild_b,31,strings,16,same_family_rate_at_10,0.5928428915622486,0.5046571762982159,0.08818571526403263
lightgbm,wild_b,31,strings,32,auc,0.9575534943333335,0.919692457462963,0.03786103687037046
lightgbm,wild_b,31,strings,32,mix_at_10,0.11093236111111111,0.15310522222222223,-0.04217286111111111
lightgbm,wild_b,31,strings,32,js_divergence,0.020956671231977884,0.0954202878620216,-0.07446361663004372
lightgbm,wild_b,31,strings,32,same_family_rate_at_10,0.6245041529245281,0.5794581095692101,0.04504604335531803
lightgbm,wild_b,31,strings,64,auc,0.9694639630740742,0.9587587882222219,0.010705174851852295
lightgbm,wild_b,31,strings,64,mix_at_10,0.09652091666666666,0.10458705555555556,-0.008066138888888894
lightgbm,wild_b,31,strings,64,js_divergence,0.014130942354527627,0.18286024646222274,-0.1687293041076951
