seed,feature_group,test_week,perturbation_type,strength,trial_id,n_masked_features,auc,mix_at_k,silhouette,js_divergence,delta_auc,delta_mix_at_k,delta_silhouette,delta_js_divergence
77,header,2024-10-27_2024-11-02,random,0.05,6,4,0.9642715825,0.0868625,0.08619061762700413,0.07071521805015046,-0.014955157499999983,0.0004974999999999979,-0.006588828911425856,2.3347908016321806e-05
77,header,2024-10-27_2024-11-02,random,0.05,7,4,0.97893557,0.08659,0.09327722348640306,0.07051449207254402,-0.00029117000000000726,0.00022500000000000298,0.0004977769479730804,-0.00017737806959011726
77,header,2024-10-27_2024-11-02,random,0.05,8,4,0.9790863425,0.0865225,0.09435893525720407,0.07033725568298825,-0.00014039749999994466,0.00015750000000000486,0.0015794887187740858,-0.00035461445914589107
77,header,2024-10-27_2024-11-02,random,0.05,9,4,0.97922316,0.087395,0.08596743089214566,0.0034635612590662437,-3.580000000003025e-06,0.0010300000000000031,-0.006812015646284322,-0.0672283088830679
77,header,2024-10-27_2024-11-02,random,0.05,10,4,0.962763385,0.0925225,0.08574948839960943,0.0031875657195895974,-0.016463354999999957,0.006157499999999996,-0.007029958138820555,-0.06750430442254454
77,header,2024-10-27_2024-11-02,random,0.05,11,4,0.9718646975,0.0860575,0.09563036054270072,0.07055758472623333,-0.007362042499999943,-0.0003075000000000022,0.0028509140042707326,-0.00013428541590081167
77,header,2024-10-27_2024-11-02,random,0.05,12,4,0.97837775875,0.0869075,0.0949210098135085,0.07067990329964735,-0.0008489812499999916,0.0005425000000000013,0.0021415632750785146,-1.1966842486790807e-05
77,header,2024-10-27_2024-11-02,random,0.05,13,4,0.96828874,0.08689,0.10110160019234153,0.16265997113238662,-0.010938000000000003,0.0005249999999999977,0.008322153653911549,0.09196810099025247
77,header,2024-10-27_2024-11-02,random,0.05,14,4,0.96916482,0.087215,0.09760797849189552,0.1626619972331919,-0.010061919999999946,0.0008500000000000035,0.00482853195346554,0.09197012709105777
77,header,2024-10-27_2024-11-02,random,0.05,15,4,0.9772326725,0.0869275,0.09567956529484076,0.07069166326813557,-0.001994067499999974,0.0005625000000000074,0.0029001187564107744,-2.0687399857055588e-07
77,header,2024-10-27_2024-11-02,random,0.05,16,4,0.97069654625,0.08629,0.09949939421051328,0.1615546830782643,-0.00853019374999997,-7.499999999999174e-05,0.006719947672083296,0.09086281293613015
77,header,2024-10-27_2024-11-02,random,0.05,17,4,0.97908566,0.0862575,0.09527280064879484,0.07064659088974391,-0.00014108000000001564,-0.00010749999999999649,0.0024933541103648593,-4.527925239022901e-05
77,header,2024-10-27_2024-11-02,random,0.05,18,4,0.97883588375,0.086775,0.09373919718178349,0.07067970124566156,-0.00039085625000001567,0.0004100000000000076,0.0009597506433535047,-1.2168896472583568e-05
77,header,2024-10-27_2024-11-02,random,0.05,19,4,0.9779966062500001,0.0866125,0.09442618901039472,0.07069186962907122,-0.0012301337499999176,0.0002474999999999977,0.0016467424719647378,-5.130629254779251e-10
77,header,2024-10-27_2024-11-02,random,0.05,20,4,0.97705610875,0.087495,0.09488117298331739,0.07064403594101687,-0.0021706312499999436,0.001130000000000006,0.002101726444887403,-4.783420111727221e-05
77,header,2024-10-27_2024-11-02,random,0.1,1,8,0.9679589987499999,0.0870475,0.09513332799331618,0.11060088982978575,-0.011267741250000074,0.0006825000000000025,0.0023538814548862003,0.039909019687651606
77,header,2024-10-27_2024-11-02,random,0.1,2,8,0.97249829375,0.088395,0.08880951002095723,0.0034782505820299143,-0.00672844625000002,0.002030000000000004,-0.0039699365174727524,-0.06721361956010423
77,header,2024-10-27_2024-11-02,random,0.1,3,8,0.9741144675,0.0865275,0.0951523741822885,0.07058343996204716,-0.005112272500000015,0.00016249999999999598,0.002372927643858519,-0.00010843018008697969
77,header,2024-10-27_2024-11-02,random,0.1,4,8,0.97278096,0.0865425,0.09531392259987082,0.07053555302584712,-0.0064457799999999565,0.0001774999999999971,0.0025344760614408324,-0.00015631711628702472
77,header,2024-10-27_2024-11-02,random,0.1,5,8,0.9764090162500001,0.0873925,0.087932678315167,0.07069174192701401,-0.0028177237499998897,0.0010275000000000006,-0.004846768223262979,-1.2821512013205805e-07
77,header,2024-10-27_2024-11-02,random,0.1,6,8,0.9778843625,0.08763,0.09487831193675172,0.07058592550945694,-0.0013423774999999916,0.0012650000000000022,0.002098865398321742,-0.000105944632677199
77,header,2024-10-27_2024-11-02,random,0.1,7,8,0.9659339725,0.0885625,0.08172289087539898,0.07051449214875036,-0.013292767499999969,0.002197500000000005,-0.011056555663031,-0.00017737799338378435
77,header,2024-10-27_2024-11-02,random,0.1,8,8,0.9771802424999999,0.087745,0.09714140866978649,0.07033730570247065,-0.0020464975000000774,0.0013800000000000062,0.004361962131356506,-0.00035456443966348783
77,header,2024-10-27_2024-11-02,random,0.1,9,8,0.9481454912499999,0.0889625,0.09640189147344147,0.06902118585450412,-0.031081248750000068,0.0025975000000000026,0.0036224449350114873,-0.0016706842876300226
