k,scope,feature_group,metric,mean,std,min,max
15,metric,imports,same_family_rate_at_k,0.6716627148332118,0.013788545283797854,0.6464819700967458,0.7068733153638814
15,metric,imports,family_silhouette,-0.0913007996922771,0.032434474692357496,-0.1425128814818229,-0.03150367323274393
15,metric,imports,family_macro_f1,0.7165951979802134,0.01765240145419363,0.6810139009575229,0.763180031036144
15,rank,imports,same_family_rate_at_k_rank,4.0,0.0,4.0,4.0
15,rank,imports,family_silhouette_rank,1.4833333333333334,0.6706133179576903,1.0,3.0
15,rank,imports,family_macro_f1_rank,4.466666666666667,0.49888765156985887,4.0,5.0
15,metric,strings,same_family_rate_at_k,0.6293319351791822,0.009997997498260875,0.6103207810320781,0.6499890566863646
15,metric,strings,family_silhouette,-0.21529637139185007,0.02960798091497145,-0.28536296528392224,-0.1647545004741266
15,metric,strings,family_macro_f1,0.7196454739515139,0.03225638166633705,0.666970650131395,0.7904766652527584
15,rank,strings,same_family_rate_at_k_rank,5.0,0.0,5.0,5.0
15,rank,strings,family_silhouette_rank,4.45,0.8836477427874376,2.0,5.0
15,rank,strings,family_macro_f1_rank,4.516666666666667,0.5320296566504122,3.0,5.0
15,metric,all,same_family_rate_at_k,0.7113613406164062,0.010796413650590144,0.6919744942832015,0.7387466307277628
15,metric,all,family_silhouette,-0.18264900863492986,0.0378185353212386,-0.2869936735283834,-0.12741070619504596
15,metric,all,family_macro_f1,0.8438000119201257,0.01677386228715198,0.8043560337760562,0.8822551421832457
15,rank,all,same_family_rate_at_k_rank,3.0,0.0,3.0,3.0
15,rank,all,family_silhouette_rank,3.716666666666667,0.8773381458834572,2.0,5.0
15,rank,all,family_macro_f1_rank,1.0166666666666666,0.12801909579781018,1.0,2.0
20,metric,header,same_family_rate_at_k,0.7062878239405072,0.013655048829764933,0.6886875,0.740667115902965
20,metric,header,family_silhouette,-0.14193754965508204,0.06743506525642007,-0.3046258440779738,0.04630110692004712
20,metric,header,family_macro_f1,0.8005655844559598,0.019247890376363857,0.7466413600958698,0.8594623178802872
20,rank,header,same_family_rate_at_k_rank,1.6333333333333333,0.4818944098266987,1.0,2.0
20,rank,header,family_silhouette_rank,2.65,0.9970790674097348,1.0,5.0
20,rank,header,family_macro_f1_rank,2.65,0.5107184482014854,2.0,4.0
20,metric,section,same_family_rate_at_k,0.710534814401111,0.014602444292694645,0.675546875,0.731483913328956
20,metric,section,family_silhouette,-0.14968599860627654,0.06231230021803169,-0.33479265269766345,-0.04877170218845783
20,metric,section,family_macro_f1,0.8067322740411657,0.024026359557744303,0.7425476020936413,0.8581226207578494
20,rank,section,same_family_rate_at_k_rank,1.3666666666666667,0.4818944098266987,1.0,2.0
20,rank,section,family_silhouette_rank,2.7,1.369914839202301,1.0,5.0
20,rank,section,family_macro_f1_rank,2.35,0.5107184482014854,1.0,3.0
20,metric,imports,same_family_rate_at_k,0.645486481148773,0.015793833781332683,0.6188654353562005,0.6880390835579515
20,metric,imports,family_silhouette,-0.0913007996922771,0.032434474692357496,-0.1425128814818229,-0.03150367323274393
20,metric,imports,family_macro_f1,0.7165951979802134,0.01765240145419363,0.6810139009575229,0.763180031036144
20,rank,imports,same_family_rate_at_k_rank,4.0,0.0,4.0,4.0
20,rank,imports,family_silhouette_rank,1.4833333333333334,0.6706133179576903,1.0,3.0
20,rank,imports,family_macro_f1_rank,4.466666666666667,0.49888765156985887,4.0,5.0
20,metric,strings,same_family_rate_at_k,0.602839993481742,0.01086967984905021,0.5841004184100418,0.6264116874589626
20,metric,strings,family_silhouette,-0.21529637139185007,0.02960798091497145,-0.28536296528392224,-0.1647545004741266
20,metric,strings,family_macro_f1,0.7196454739515139,0.03225638166633705,0.666970650131395,0.7904766652527584
20,rank,strings,same_family_rate_at_k_rank,5.0,0.0,5.0,5.0
20,rank,strings,family_silhouette_rank,4.45,0.8836477427874376,2.0,5.0
20,rank,strings,family_macro_f1_rank,4.516666666666667,0.5320296566504122,3.0,5.0
20,metric,all,same_family_rate_at_k,0.6843512031499563,0.01216766280684615,0.6668700527704485,0.7172169811320754
20,metric,all,family_silhouette,-0.18264900863492986,0.0378185353212386,-0.2869936735283834,-0.12741070619504596
20,metric,all,family_macro_f1,0.8438000119201257,0.01677386228715198,0.8043560337760562,0.8822551421832457
20,rank,all,same_family_rate_at_k_rank,3.0,0.0,3.0,3.0
20,rank,all,family_silhouette_rank,3.716666666666667,0.8773381458834572,2.0,5.0
20,rank,all,family_macro_f1_rank,1.0166666666666666,0.12801909579781018,1.0,2.0
