seed,feature_group,density_bin,n_samples,auc,acc,positive_rate,mean_probability,silhouette,js_divergence,density_q25,density_q75
123,imports,mid_density,11376,0.9565797235881532,0.8910864978902954,0.6126054852320675,0.6241559034918578,0.0983036682009697,0.02819372098582784,-0.30310285091400146,-6.556510925292969e-07
123,imports,low_density,10000,0.9016747909767191,0.8593,0.2344,0.26375666137843395,-0.05327966809272766,0.01804707811736453,-0.30310285091400146,-6.556510925292969e-07
123,strings,high_density,10000,0.9972684641388315,0.9549,0.31,0.31428685282991975,0.2248830795288086,0.0007043823090318085,-0.26612362265586853,-0.023892085999250412
123,strings,mid_density,20000,0.9646072787825952,0.8996,0.5554,0.5611738715179694,0.015626104548573494,0.00018334869669722997,-0.26612362265586853,-0.023892085999250412
123,strings,low_density,10000,0.9352940930674463,0.8649,0.432,0.4473959547840541,0.03685508668422699,0.00045457794188213745,-0.26612362265586853,-0.023892085999250412
2024,all,high_density,10000,0.9971167402026299,0.9617,0.3478,0.34966977619168427,0.27828118205070496,0.06485501045629179,-0.37138471007347107,-0.011867053806781769
2024,all,mid_density,20000,0.986911013509364,0.9401,0.6125,0.6159474220300291,0.052518196403980255,0.08171581512312967,-0.37138471007347107,-0.011867053806781769
2024,all,low_density,10000,0.9655690933046043,0.9145,0.332,0.34107061394841337,-0.005000702105462551,0.08160562207139874,-0.37138471007347107,-0.011867053806781769
2024,header,high_density,10002,0.9992619965877647,0.9862027594481104,0.7280543891221756,0.7217887483785114,0.4486245810985565,0.16079580047581815,-0.020015649497509003,-2.79843807220459e-05
2024,header,mid_density,19998,0.9659447539635784,0.8983398339833983,0.28862886288628864,0.3054958928742706,0.11091771721839905,0.07694168144542021,-0.020015649497509003,-2.79843807220459e-05
2024,header,low_density,10000,0.9488077198679767,0.8715,0.5452,0.5507207973397128,0.02784285880625248,0.07097874093537511,-0.020015649497509003,-2.79843807220459e-05
2024,section,high_density,10000,0.99811451283579,0.967,0.4351,0.43385247941330973,0.29232051968574524,0.06505073341488657,-0.024906868115067482,-0.00037859531585127115
2024,section,mid_density,20000,0.9656869908558453,0.89725,0.37155,0.38510981046497245,0.08673331886529922,0.09187869067357468,-0.024906868115067482,-0.00037859531585127115
2024,section,low_density,10000,0.9557133251759369,0.901,0.6829,0.6835722210597163,-0.05354924499988556,0.19630961152258392,-0.024906868115067482,-0.00037859531585127115
2024,imports,high_density,14877,0.851191181575357,0.8492975734355045,0.3466424682395644,0.559277465272989,0.2594029903411865,0.0911776519357331,-0.3003688454627991,0.0
2024,imports,mid_density,15121,0.9616907891342964,0.8880365055221215,0.623106937371867,0.6295312506862385,0.09313968569040298,0.029526416471801778,-0.3003688454627991,0.0
2024,imports,low_density,10002,0.9023421808028275,0.8658268346330734,0.23715256948610278,0.24161454114725625,-0.05847571790218353,0.01769025579130365,-0.3003688454627991,0.0
2024,strings,high_density,10000,0.9968515154783735,0.9597,0.3381,0.3363326263148852,0.2227897197008133,0.00048320750593824186,-0.2641623616218567,-0.022496618330478668
2024,strings,mid_density,20000,0.9642039736141327,0.8977,0.56335,0.5643592204969929,0.0180746391415596,0.000516870210010039,-0.2641623616218567,-0.022496618330478668
2024,strings,low_density,10000,0.9396498940426369,0.8696,0.4421,0.4551157783042012,0.041596245020627975,0.0025625374410272422,-0.2641623616218567,-0.022496618330478668
