model,view,seed,family,dimension,subset_repeat,sampling_mode,subset_indices_hash,auc,mix_at_10,js_divergence,same_family_rate_at_10
logistic_regression,wild_b,17,strings,32,5,family_random,1b4a48b7f3a5fc8e,0.8065078105555555,0.11937388888888889,0.010916064753782637,0.6213922641838883
logistic_regression,wild_b,17,strings,32,6,family_random,91c6d21c39fd7145,0.8560893585185186,0.09976194444444446,0.00010559624758601993,0.6379286853606657
logistic_regression,wild_b,17,strings,32,7,family_random,0e6e7c7d89da0e1f,0.8350749724074075,0.10406166666666666,0.0014287623704129703,0.6337742861146349
logistic_regression,wild_b,17,strings,32,8,family_random,b5be3faeef88328b,0.8584657385185186,0.11374638888888888,0.020264982369146218,0.6200826533283009
logistic_regression,wild_b,17,strings,32,9,family_random,ff593fd5b51e1568,0.8296476822222223,0.12468777777777777,0.04331347531219712,0.6018246023875182
logistic_regression,wild_b,17,strings,64,0,family_random,a5f54f3f84274138,0.8655922424074074,0.09830527777777777,0.00012091261445763248,0.6345874354510679
logistic_regression,wild_b,17,strings,64,1,family_random,1c10ce80fd13ef67,0.8674890866666666,0.10210416666666665,0.015999235429885645,0.6414779626479682
logistic_regression,wild_b,17,strings,64,2,family_random,7d1ca8b921b7535c,0.8821965196296299,0.0972988888888889,0.012193485761470243,0.6343651721886508
logistic_regression,wild_b,17,strings,64,3,family_random,b6aac17b48be758f,0.8856321874074076,0.09526722222222223,0.0015598990006688875,0.6378606499899702
logistic_regression,wild_b,17,strings,64,4,family_random,0c9b2c39b870628a,0.8782114720370369,0.10275361111111113,0.03214525705634575,0.6294426786541842
logistic_regression,wild_b,17,strings,64,5,family_random,1096529936beee10,0.8880283392592593,0.095385,0.0001072735505157939,0.6369421553366944
logistic_regression,wild_b,17,strings,64,6,family_random,178e8bfe2c38f3f5,0.8718119409259258,0.09918805555555556,0.0698476079897156,0.6361140639186059
logistic_regression,wild_b,17,strings,64,7,family_random,ef8766c958a7db96,0.8874122883333334,0.0964922222222222,0.07643382973611516,0.6391283845777042
logistic_regression,wild_b,17,strings,64,8,family_random,6a404412feca36e6,0.8671098746296297,0.10172333333333333,0.02761082983711868,0.6371524169665878
logistic_regression,wild_b,17,strings,64,9,family_random,bb9ad2545805a55c,0.8671360483333334,0.10713083333333336,0.019094396261060145,0.6311453525583953
logistic_regression,wild_b,23,header,16,0,family_random,25d2be9501bcb668,0.8569890025925927,0.09273666666666669,0.1352907001372459,0.6898659364400329
logistic_regression,wild_b,23,header,16,1,family_random,740cafa7abb58ca9,0.9257029292592592,0.08546666666666668,0.1358904568060881,0.688863617982304
logistic_regression,wild_b,23,header,16,2,family_random,75e7c6e1d8e3f321,0.8435956689814814,0.11804527777777775,6.622028424934569e-05,0.6539605801808036
logistic_regression,wild_b,23,header,16,3,family_random,5f7143d7b1f54f85,0.8833226606481484,0.09807999999999999,0.16527153778228032,0.6917084477178356
logistic_regression,wild_b,23,header,16,4,family_random,ab37bfd03c89e0f8,0.86017649875,0.22156027777777776,0.47885366922683853,0.43474696971055565
logistic_regression,wild_b,23,header,16,5,family_random,e8e3f8d3267b69b2,0.9068693944444445,0.09504444444444443,0.07720340687465857,0.6651736814701111
logistic_regression,wild_b,23,header,16,6,family_random,3c8f14fe0f4db5d8,0.911289746388889,0.09515944444444445,0.07931876267162798,0.6823339334496147
logistic_regression,wild_b,23,header,16,7,family_random,77674df074e41726,0.8902805118518519,0.12745805555555556,0.0005219666607622793,0.6415780007986821
logistic_regression,wild_b,23,header,16,8,family_random,25f809d8749ad55f,0.8377856077777777,0.10476805555555556,0.09214114563622978,0.6711605408996434
logistic_regression,wild_b,23,header,16,9,family_random,5f3ebd8a2362bde9,0.8574301200000001,0.1181236111111111,0.02513844256188072,0.6685545230031312
logistic_regression,wild_b,23,header,32,0,family_random,693405fa8f3d5c38,0.9352954818518517,0.08216583333333334,0.08073593236337935,0.7004520033850917
logistic_regression,wild_b,23,header,32,1,family_random,e4a249e1467cce40,0.9327166681481481,0.08258694444444445,0.10274421607714128,0.6938414711815312
logistic_regression,wild_b,23,header,32,2,family_random,4d18a1cdc4def985,0.9225331207407409,0.08053027777777778,0.07761076813393185,0.6945263515915879
logistic_regression,wild_b,23,header,32,3,family_random,be78c047f3722721,0.922889885925926,0.08484305555555556,0.05655262852824685,0.6921904464891661
logistic_regression,wild_b,23,header,32,4,family_random,fef34f4c19e03f0e,0.8919554103703705,0.09731527777777778,0.0019499318062049925,0.6911210079730742
logistic_regression,wild_b,23,header,32,5,family_random,bd6be19737ac64b9,0.9225886361111112,0.07954027777777778,0.1556884396464799,0.6954553798603027
logistic_regression,wild_b,23,header,32,6,family_random,5bad0f736ccd479b,0.9147457522222222,0.09167777777777779,0.07741342999683713,0.6872715813717015
logistic_regression,wild_b,23,header,32,7,family_random,73a5af929871704e,0.9302281903703703,0.07929805555555554,0.123786520482019,0.6952008082676743
logistic_regression,wild_b,23,header,32,8,family_random,5d2889a20e4635a7,0.9247385046296296,0.09006055555555555,0.07564834982047719,0.6893190679216404
logistic_regression,wild_b,23,header,32,9,family_random,ead34887322fa9a2,0.9324098553703702,0.07922722222222223,0.16870920656532606,0.6927165476900717
logistic_regression,wild_b,23,header,64,0,family_random,e1bec04897ed21c1,0.9416538874074073,0.07170305555555558,0.2131136227986936,0.7051129425322791
logistic_regression,wild_b,23,header,64,1,family_random,aebb462b4b646112,0.9459620851851853,0.07094055555555555,0.2238450211988061,0.7063514640437208
logistic_regression,wild_b,23,header,64,2,family_random,f46a89174fa34753,0.9412154290740739,0.07564361111111112,0.08087135567887858,0.7070340046751337
logistic_regression,wild_b,23,header,64,3,family_random,cfd48576b86df927,0.9474115311111112,0.07044,0.08058500485736182,0.7071993397367101
logistic_regression,wild_b,23,header,64,4,family_random,f49dfe45ce8f48bf,0.9225672283333334,0.07863750000000001,0.0054365429731447375,0.7037176081607628
logistic_regression,wild_b,23,header,64,5,family_random,bc10306b9f360323,0.946850048148148,0.06966750000000002,0.08051789465592034,0.7076349640875265
logistic_regression,wild_b,23,header,64,6,family_random,7e76b670c46c7b4f,0.9483976025925925,0.07108888888888888,0.0782922869765531,0.7049832876457139
logistic_regression,wild_b,23,header,64,7,family_random,a0d0683f634fc0d9,0.9360798548148148,0.0705925,0.006166425065048486,0.7072921746986071
logistic_regression,wild_b,23,header,64,8,family_random,68d9cd5c4f95669e,0.9481336325925925,0.07146611111111112,0.07872621743013529,0.7037350051899788
logistic_regression,wild_b,23,header,64,9,family_random,e4e623321f088a85,0.9401879774074073,0.07296694444444443,0.08130986214407233,0.7015536827745231
logistic_regression,wild_b,23,section,16,0,family_random,f49986e32ef2651b,0.7355238046296297,0.1390488888888889,0.24540162709969415,0.5813717119243774
logistic_regression,wild_b,23,section,16,1,family_random,22337ffdec35c215,0.8305991828703703,0.11332305555555555,0.003841212726059244,0.647007489842989
logistic_regression,wild_b,23,section,16,2,family_random,a49d910f1a5e111a,0.7072119107407407,0.3066866666666667,0.2629089935747125,0.417653891756979
logistic_regression,wild_b,23,section,16,3,family_random,2f4e1a1ed403b227,0.7566568351851853,0.14196111111111112,0.42255082951306155,0.6090240445617999
logistic_regression,wild_b,23,section,16,4,family_random,585952de21f3446e,0.7596027420370371,0.15312416666666667,0.2848646769222184,0.5673626287984428
logistic_regression,wild_b,23,section,16,5,family_random,8a354e9ae0396e3e,0.7081014406481482,0.19987833333333335,0.19894664012654872,0.48142121104045055
logistic_regression,wild_b,23,section,16,6,family_random,b23781c208b4bef4,0.6809754696296295,0.21635083333333335,0.2314371824370475,0.537935756780883
logistic_regression,wild_b,23,section,16,7,family_random,70c16f1dbc99ae20,0.8178742125,0.16117166666666669,0.020931622081976825,0.5452918974752097
logistic_regression,wild_b,23,section,16,8,family_random,dcad0afa9fcf4f19,0.8327383730555554,0.2828038888888889,0.21361863314654583,0.33566985726931325
logistic_regression,wild_b,23,section,16,9,family_random,adb06ec1e0b80934,0.7602367155555555,0.27713277777777784,0.2344620370517528,0.3534309137082133
logistic_regression,wild_b,23,section,32,0,family_random,61f2b5321eef7476,0.7999282249999999,0.1227336111111111,0.34992377793341417,0.6164165655345302
logistic_regression,wild_b,23,section,32,1,family_random,afca3b70c1e010e7,0.8053614566666667,0.07472305555555554,0.04769228786177593,0.6776761928979459
logistic_regression,wild_b,23,section,32,2,family_random,eb2b1f6edacddd52,0.807140612962963,0.13802777777777778,0.42099111396521177,0.563979422557391
logistic_regression,wild_b,23,section,32,3,family_random,428ffcde4d963ba7,0.8099194838888889,0.10071222222222222,0.2415153327980637,0.6613034192064003
