seed,feature_group,mask_type,repeat,strength,density_bin,n_samples,baseline_auc,masked_auc,delta_auc,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,mean_abs_probability_shift,mean_signed_probability_shift
13,imports,random,1,0.05,low_density,10000,0.9015077400270685,0.8987046342685683,0.0028031057585001795,0.0258,0.0031,0.0105,0.02792124102403134,-0.014863488853917414
13,imports,random,2,0.05,high_density,16615,0.8742792062187551,0.8741570458883946,0.000122160330360499,0.00403250075233223,0.0,0.002708396027685826,0.0035502798583417487,-0.002944819083341246
13,imports,random,2,0.05,mid_density,13385,0.9652664033965552,0.9647063549449667,0.000560048451588524,0.015240941352259993,0.002390735898393724,0.006873365707881957,0.01785926887247999,-0.008610643284173587
13,imports,random,2,0.05,low_density,10000,0.9015077400270685,0.8983191513026265,0.003188588724441943,0.0243,0.0048,0.0096,0.02535122841186466,-0.008372825752410487
13,imports,random,3,0.05,high_density,16615,0.8742792062187551,0.8797650573333159,-0.005485851114560791,0.004995486006620524,0.0,0.00403250075233223,0.002200082444298724,-0.0003019609256710062
13,imports,random,3,0.05,mid_density,13385,0.9652664033965552,0.9635992237857747,0.0016671796107805559,0.01695928277923048,0.002017183414269705,0.008367575644378036,0.021348826115481404,-0.013352655157657824
13,imports,random,3,0.05,low_density,10000,0.9015077400270685,0.898853798655571,0.002653941371497437,0.0245,0.0043,0.0094,0.026525865616052028,-0.010466912111843422
13,imports,important,0,0.1,high_density,16615,0.8742792062187551,0.8311031680806129,0.04317603813814219,0.08805296418898585,0.0,0.08251579897682816,0.08097309128395624,-0.07039516784899251
13,imports,important,0,0.1,mid_density,13385,0.9652664033965552,0.9067542750492859,0.058512128347269377,0.2192753081807994,0.011580127007844603,0.18692566305565933,0.18722690803582157,-0.12326892566955366
13,imports,important,0,0.1,low_density,10000,0.9015077400270685,0.8345578243194438,0.06694991570762465,0.135,0.0247,0.0769,0.13940482843398924,-0.03519786599387939
13,imports,random,1,0.1,high_density,16615,0.8742792062187551,0.8680632775436904,0.006215928675064708,0.024195004513993378,0.01462533854950346,0.00734276256394824,0.01918723211311922,0.016736321883675936
13,imports,random,1,0.1,mid_density,13385,0.9652664033965552,0.9509013849491073,0.014365018447447975,0.08748599178184535,0.05050429585356743,0.0044826298094882335,0.07010538712435654,0.06477269453938751
13,imports,random,1,0.1,low_density,10000,0.9015077400270685,0.8932373645792067,0.0082703754478618,0.0937,0.06,0.0012,0.09494375155162639,0.08678577178940768
13,imports,random,2,0.1,high_density,16615,0.8742792062187551,0.8729931889962937,0.0012860172224613553,0.011375263316280469,0.0,0.008606680710201625,0.004537516993766877,-0.002402285802004033
13,imports,random,2,0.1,mid_density,13385,0.9652664033965552,0.9609911934293712,0.004275209967184002,0.030556593201344788,0.004333208815838626,0.014344415390362346,0.034274958482975966,-0.01613460188753469
13,imports,random,2,0.1,low_density,10000,0.9015077400270685,0.8894148522040364,0.012092887823032084,0.0524,0.008,0.0244,0.05387407647324347,-0.02591201068806471
13,imports,random,3,0.1,high_density,16615,0.8742792062187551,0.8739692830835191,0.0003099231352360343,0.00403250075233223,0.0,0.002708396027685826,0.005457988962651607,-0.000281739322881108
13,imports,random,3,0.1,mid_density,13385,0.9652664033965552,0.9620944682376352,0.003171935158920003,0.02711991034740381,0.0035113933507657825,0.013821441912588718,0.028687098750092465,-0.013297576189151105
13,imports,random,3,0.1,low_density,10000,0.9015077400270685,0.8849194754752303,0.01658826455183815,0.0407,0.0059,0.0203,0.04402027608406463,-0.021305343047316728
13,strings,important,0,0.01,high_density,10000,0.9973231007392591,0.8985358584102688,0.09878724232899028,0.6396,0.6127,0.0,0.6287694673082577,0.6287694673082577
13,strings,important,0,0.01,mid_density,20000,0.9648693584770831,0.8408384167518618,0.12403094172522133,0.42895,0.3616,0.0,0.412029800733946,0.412029800733946
13,strings,important,0,0.01,low_density,10000,0.9407541324246761,0.8288003997933763,0.11195373263129982,0.5439,0.4711,0.0,0.5201650782755991,0.5201650782755991
13,strings,random,1,0.01,high_density,10000,0.9973231007392591,0.9939039117899195,0.003419188949339569,0.0187,0.0005,0.015,0.018294899076734032,-0.010791737775890828
13,strings,random,1,0.01,mid_density,20000,0.9648693584770831,0.9619626637270018,0.002906694750081318,0.0193,0.0078,0.0051,0.016284262812397737,0.0043042508424802435
13,strings,random,1,0.01,low_density,10000,0.9407541324246761,0.9386944731365993,0.0020596592880768316,0.0157,0.0072,0.0029,0.01631037718234694,0.0034316150816791507
13,strings,random,2,0.01,high_density,10000,0.9973231007392591,0.9970484002272002,0.0002747005120589119,0.0044,0.0012,0.0,0.008559571521796715,0.00841749163086406
13,strings,random,2,0.01,mid_density,20000,0.9648693584770831,0.9626863421125184,0.0021830163645647493,0.0256,0.015,0.00025,0.022012599173803164,0.01905965842881528
13,strings,random,2,0.01,low_density,10000,0.9407541324246761,0.9382699280409742,0.0024842043837018934,0.0249,0.015,0.0008,0.025093640091061735,0.02071666697359967
13,strings,random,3,0.01,high_density,10000,0.9973231007392591,0.8622972203178314,0.1350258804214277,0.1445,0.1404,0.0,0.14637802210359369,0.14637603321580683
13,strings,random,3,0.01,mid_density,20000,0.9648693584770831,0.9595216513282426,0.005347707148840475,0.03415,0.02,0.0,0.030801810885769026,0.030772191382747786
13,strings,random,3,0.01,low_density,10000,0.9407541324246761,0.9388464153801197,0.0019077170445563896,0.0354,0.0207,0.0,0.036555631644923633,0.036469123335082475
13,strings,important,0,0.05,high_density,10000,0.9973231007392591,0.8066501846359431,0.19067291610331605,0.6565,0.6296,0.0,0.6590953294320748,0.6590953294320748
13,strings,important,0,0.05,mid_density,20000,0.9648693584770831,0.8772421480913238,0.08762721038575927,0.4451,0.3755,0.0,0.4352049378959085,0.4352049378959085
13,strings,important,0,0.05,low_density,10000,0.9407541324246761,0.8431829914488684,0.09757114097580766,0.5565,0.4827,0.0,0.5422327254805142,0.5422327254805142
13,strings,random,1,0.05,high_density,10000,0.9973231007392591,0.9901004629544725,0.007222637784786601,0.0731,0.0,0.0685,0.06536491254537966,-0.06487135264928352
