feature_group,mask_type,strength,density_bin,n_rows,baseline_auc_mean,baseline_auc_std,baseline_auc_min,baseline_auc_max,masked_auc_mean,masked_auc_std,masked_auc_min,masked_auc_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,benign_to_malware_rate_overall_mean,benign_to_malware_rate_overall_std,benign_to_malware_rate_overall_min,benign_to_malware_rate_overall_max,malware_to_benign_rate_overall_mean,malware_to_benign_rate_overall_std,malware_to_benign_rate_overall_min,malware_to_benign_rate_overall_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max
header,random,0.1,high_density,15,0.9994427325279406,0.00010296111025227757,0.9992619965877647,0.9995563148159459,0.9010798737992847,0.06412725542451214,0.7514407819678702,0.9862582358095169,0.09836285872865594,0.06410887636183504,0.013189425469687821,0.24808539977182342,0.2893036339398786,0.25542486897121464,0.0597,0.6949,0.061445264280477245,0.07991843846891947,0.0,0.2627,0.22097203092714796,0.28498726439007394,0.0,0.6925,0.33180961922639346,0.20234519906382323,0.0620421694505784,0.6873787921516008,-0.18778358857526875,0.27302007456582894,-0.6873787921516008,0.26922439203311194
header,random,0.1,low_density,15,0.9510264680582275,0.0012937511012688387,0.9488077198679767,0.9527126125790691,0.8410801109074143,0.030692322791797243,0.792616343771073,0.8912885437046678,0.10994635715081329,0.030779214662676385,0.05943113804906508,0.1600962688079961,0.3122657714228577,0.11852063744953452,0.1883,0.5366,0.11139029297070294,0.10245335569265565,0.0,0.3147685231476852,0.1454567076625671,0.17693882630925797,9.999000099990002e-05,0.4957,0.31778332526578196,0.10935499063484172,0.18207791228274245,0.5416350268638483,-0.02161119344560618,0.28180822210331985,-0.5416350268638269,0.3742032068032433
header,random,0.1,mid_density,15,0.9645553801640135,0.0018165391568599836,0.9612117112898009,0.9659447539635784,0.8680967790194155,0.05044580736381017,0.7474996093426335,0.9214206737138644,0.0964586011445981,0.05012058308026861,0.039791037575936494,0.21827167063997188,0.2977652819783871,0.13310035902129488,0.1244,0.6505825291264563,0.1691888227334492,0.17263115070217117,0.0,0.5820291014550728,0.07813491178140933,0.09320280910710009,0.0001000050002500125,0.25715,0.3052155714805553,0.1227010065174067,0.1419730658832712,0.6072471794547449,0.11396434678264544,0.26156198745673104,-0.30708244430656967,0.6052370096862554
imports,important,0.01,high_density,5,0.8559507903240917,0.027671255488776053,0.8130953115183193,0.8951345068035579,0.8408145308085798,0.026156744467028446,0.7941034262372522,0.8705857840046499,0.015136259515512007,0.011978682734297745,0.00369342221410518,0.03671225976726611,0.03488311092168892,0.01734113568290584,0.019157088122605363,0.06717139175257732,0.0,0.0,0.0,0.0,0.031269723262434664,0.014985847157472941,0.0178127310613699,0.05954682130584192,0.02803377194995827,0.0096498649295713,0.018651067582613087,0.0453441552152984,-0.023974155729836237,0.011166326879479277,-0.0445630914507695,-0.013283968498972138
imports,important,0.01,low_density,5,0.9012585376069333,0.001653302998253272,0.8980679862682784,0.902699989959773,0.888738564665369,0.003371913378473492,0.8832157822319922,0.8925377358882607,0.01251997294156415,0.003010734659792728,0.010162254071512278,0.018291957795076308,0.06665790441911619,0.015818412800677684,0.052389522095580884,0.0937,0.004899644071185763,0.0036239692432783405,0.0009,0.0091,0.03913900019996001,0.014626779493228558,0.02499500099980004,0.0635,0.06340366668012981,0.010936502297238313,0.052217522267963015,0.08183749103065922,-0.03994364803799663,0.02292844799743261,-0.07339604804363095,-0.01505565810723623
imports,important,0.01,mid_density,5,0.9633873744011021,0.004776883309190952,0.9565797235881532,0.971138058900652,0.9502856129387988,0.006958515938078967,0.9415450165287963,0.9619607540346432,0.013101761462303352,0.0028933307144611542,0.009177304866008762,0.017143127464709362,0.09479106950784706,0.02077179229814922,0.06880836757564437,0.1305379746835443,0.0030251928040504463,0.0017478950870987008,0.0005460833687276257,0.005827418752334703,0.0749587470003342,0.019408472720441373,0.046619350018677626,0.10311181434599156,0.08778915902885932,0.015733509318073324,0.0700312000210521,0.1170057417476593,-0.07113983085551559,0.02310028023304822,-0.11087738249314527,-0.04347949527380193
imports,important,0.05,high_density,5,0.8559507903240917,0.027671255488776053,0.8130953115183193,0.8951345068035579,0.8277302124408964,0.032665013020852125,0.7740566659008076,0.8646204231548036,0.028220577883195385,0.015746947916972162,0.008714287362264761,0.04548453759514115,0.06641756097999311,0.01979737263416614,0.03566142786665727,0.09042096219931271,0.0,0.0,0.0,0.0,0.062278814618659493,0.017998694043256797,0.035168087955458456,0.0823131443298969,0.046010752356159236,0.009048899609869859,0.03710178809978887,0.060785309108057885,-0.04170011507123588,0.010566870791610629,-0.058794781902398015,-0.031796477587614815
imports,important,0.05,low_density,5,0.9012585376069333,0.001653302998253272,0.8980679862682784,0.902699989959773,0.8662070869536025,0.007476396709938019,0.85745050869105,0.8784581709681374,0.035051450653330665,0.00718890021044325,0.023216620008581712,0.044057231336018465,0.11885578484303139,0.014928226388147656,0.1051,0.1403,0.008059432113577283,0.007164316271962665,0.001,0.0189,0.07839758048390322,0.019381296192269942,0.0561,0.1044,0.10767151436763553,0.0067113370462977325,0.09964273879599503,0.11879409855866,-0.06871647027396934,0.02320978504198962,-0.10162335428032812,-0.03613890084766468
imports,important,0.05,mid_density,5,0.9633873744011021,0.004776883309190952,0.9565797235881532,0.971138058900652,0.9334074858369092,0.006706736290886598,0.9228391024096013,0.9416256607741791,0.029979888564192935,0.006914417211708081,0.022102055089326056,0.04242730098695391,0.17958842385450188,0.0316228789748636,0.12743866146418886,0.21363994903221892,0.004311116941640413,0.0025599174046558636,0.0017596019659001274,0.00881583862532686,0.1536473313480337,0.031704171080897056,0.09913365518153561,0.191129179054669,0.1438512873514763,0.019378540571177282,0.10987540251286715,0.16394346195078285,-0.11985259037759972,0.028392872287937656,-0.14970128325396861,-0.07327394789727096
imports,important,0.1,high_density,5,0.8559507903240917,0.027671255488776053,0.8130953115183193,0.8951345068035579,0.8030839659383956,0.04322617364246349,0.7454007480801033,0.8606448969274422,0.05286682438569621,0.027533516043519803,0.029280388059863216,0.10579043349525374,0.09358211112614251,0.013608626237915327,0.07393050954965114,0.11225381461316125,0.0,0.0,0.0,0.0,0.08933079030928102,0.013417188530069091,0.07322573824793854,0.10983397190293742,0.06711745339619368,0.00948332147478682,0.0512006034315596,0.08097309128395624,-0.060290764743958246,0.007678534754329855,-0.07039516784899251,-0.04700853217718945
