seed,feature_group,mask_type,strength,high_density_flip_rate,low_density_flip_rate,delta_flip_density,flip_density_ratio
77,imports,important,0.05,0.03566142786665727,0.1102,0.07453857213334274,3.0901735177865617
77,imports,important,0.1,0.07393050954965114,0.1231,0.049169490450348866,1.6650771210676836
77,imports,random,0.01,0.0,0.011233333333333333,0.011233333333333333,nan
77,imports,random,0.05,0.0,0.024900000000000002,0.024900000000000002,nan
77,imports,random,0.1,0.0008692179387788662,0.040466666666666665,0.0395974487278878,46.55525945945946
77,section,important,0.01,0.0939,0.2476,0.1537,2.636847710330138
77,section,important,0.05,0.081,0.2216,0.1406,2.7358024691358023
77,section,important,0.1,0.5434,0.2308,-0.3126,0.42473316157526686
77,section,random,0.01,0.0,0.0022666666666666664,0.0022666666666666664,nan
77,section,random,0.05,0.048966666666666665,0.05383333333333332,0.004866666666666658,1.0993873383253912
77,section,random,0.1,0.0705,0.14506666666666668,0.07456666666666668,2.057683215130024
77,strings,important,0.01,0.0243,0.0329,0.0086,1.353909465020576
77,strings,important,0.05,0.6469,0.5859,-0.061000000000000054,0.9057041273767197
77,strings,important,0.1,0.674,0.5933,-0.0807,0.8802670623145401
77,strings,random,0.01,0.007566666666666666,0.007833333333333333,0.0002666666666666668,1.0352422907488987
77,strings,random,0.05,0.15616666666666668,0.2294666666666667,0.07330000000000003,1.4693703308431165
77,strings,random,0.1,0.1442,0.23316666666666666,0.08896666666666667,1.6169671752196024
123,all,important,0.01,0.6597,0.4886,-0.17109999999999997,0.740639684705169
123,all,important,0.05,0.6457,0.3701,-0.27560000000000007,0.5731763977079138
123,all,important,0.1,0.6414,0.3803,-0.26109999999999994,0.5929217337075149
123,all,random,0.01,0.004366666666666667,0.0067,0.002333333333333333,1.5343511450381677
123,all,random,0.05,0.02513333333333333,0.037,0.011866666666666668,1.4721485411140585
123,all,random,0.1,0.07186666666666668,0.11856666666666667,0.04669999999999999,1.6498144712430425
123,header,important,0.01,0.0651,0.2441,0.179,3.7496159754224268
123,header,important,0.05,0.081,0.2049,0.1239,2.5296296296296297
123,header,important,0.1,0.1822,0.3161,0.1339,1.734906695938529
123,header,random,0.01,0.07423333333333333,0.17876666666666666,0.10453333333333333,2.4081724292770543
123,header,random,0.05,0.1566,0.2806666666666667,0.12406666666666669,1.7922520221370797
123,header,random,0.1,0.2745,0.37790000000000007,0.10340000000000005,1.3766848816029145
123,imports,important,0.01,0.06717139175257732,0.0937,0.02652860824742269,1.394939088729017
