seed,feature_group,test_week,perturbation_type,strength,trial_id,n_masked_features,auc,mix_at_k,silhouette,js_divergence,delta_auc,delta_mix_at_k,delta_silhouette,delta_js_divergence
77,imports,2024-11-10_2024-11-16,random,0.01,10,13,0.89612630375,0.1806975,0.027313989357987872,0.02863866536331274,-0.002666987500000051,-0.00014249999999998986,-0.00013676598578252555,-0.0002903464266177415
77,imports,2024-11-10_2024-11-16,random,0.01,11,13,0.89014512875,0.1810025,0.02748373373272085,0.028763239163678716,-0.008648162500000112,0.00016250000000000986,3.297838895045119e-05,-0.00016577262625176725
77,imports,2024-11-10_2024-11-16,random,0.01,12,13,0.9011699462499999,0.1813625,0.027586817516333916,0.028971573899753786,0.0023766549999998388,0.0005225000000000091,0.00013606217256351832,4.256210982330269e-05
77,imports,2024-11-10_2024-11-16,random,0.01,13,13,0.89589862125,0.181045,0.02748511852810601,0.028856133080766025,-0.002894670000000099,0.00020500000000001073,3.436318433561181e-05,-7.287870916445824e-05
77,imports,2024-11-10_2024-11-16,random,0.01,14,13,0.8887610687499999,0.18095,0.02750896399244351,0.028916269591946424,-0.010032222500000132,0.00010999999999999899,5.820864867311232e-05,-1.2742197984059317e-05
77,imports,2024-11-10_2024-11-16,random,0.01,15,13,0.89872976125,0.18089,0.027472274137107195,0.028762267990894298,-6.353000000003384e-05,4.999999999999449e-05,2.1518793336797182e-05,-0.0001667437990361849
77,imports,2024-11-10_2024-11-16,random,0.01,16,13,0.89618942625,0.18127,0.027533288111622242,0.028751100524399043,-0.002603865000000094,0.00042999999999998595,8.253276785184435e-05,-0.00017791126553143993
77,imports,2024-11-10_2024-11-16,random,0.01,17,13,0.8953490262499999,0.180895,0.02734970693685749,0.028701916796497935,-0.0034442650000001684,5.4999999999999494e-05,-0.00010104840691290903,-0.00022709499343254863
77,imports,2024-11-10_2024-11-16,random,0.01,18,13,0.89978127375,0.180565,0.027573840191325538,0.028817628629364316,0.0009879824999999842,-0.00027499999999999747,0.00012308484755513965,-0.00011138316056616762
77,imports,2024-11-10_2024-11-16,random,0.01,19,13,0.8758980662500001,0.181405,0.02679301064025176,0.028792495376726623,-0.022895224999999964,0.0005650000000000099,-0.0006577447035186375,-0.00013651641320385974
77,imports,2024-11-10_2024-11-16,random,0.01,20,13,0.89876534625,0.18106,0.027461394961489135,0.028821895322052177,-2.7945000000029196e-05,0.00021999999999999797,1.063961771873706e-05,-0.00010711646787830639
77,imports,2024-11-10_2024-11-16,important,0.05,0,65,0.79819916125,0.18456,0.025202638227716897,0.05713121515315938,-0.10059413000000006,0.003720000000000001,-0.002248117116053501,0.028202203363228897
77,imports,2024-11-10_2024-11-16,random,0.05,1,65,0.90044236125,0.18013,0.027620981801842578,0.028293165707058907,0.0016490699999999192,-0.0007099999999999884,0.0001702264580721799,-0.0006358460828715766
77,imports,2024-11-10_2024-11-16,random,0.05,2,65,0.8959568437500001,0.1802275,0.0278794827875169,0.028411849629592614,-0.0028364475000000056,-0.000612499999999988,0.0004287274437465016,-0.0005171621603378695
77,imports,2024-11-10_2024-11-16,random,0.05,3,65,0.8758646962500001,0.1810775,0.02736123185578964,0.028877258630252044,-0.022928594999999996,0.0002375000000000016,-8.952348798075757e-05,-5.175315967843874e-05
77,imports,2024-11-10_2024-11-16,random,0.05,4,65,0.8916172387499999,0.1815925,0.027402901476879543,0.028252039133247565,-0.007176052500000196,0.0007524999999999893,-4.785386689085472e-05,-0.0006769726566829178
77,imports,2024-11-10_2024-11-16,random,0.05,5,65,0.89543384625,0.1809575,0.02734255434854832,0.028021317098057174,-0.003359445000000072,0.00011749999999999261,-0.00010820099522207763,-0.0009076946918733092
77,imports,2024-11-10_2024-11-16,random,0.05,6,65,0.9009386887499999,0.181055,0.02758165492989678,0.028136754819192866,0.002145397499999868,0.00021499999999999297,0.00013089958612638383,-0.0007922569707376169
77,imports,2024-11-10_2024-11-16,random,0.05,7,65,0.8988198012499999,0.1815775,0.027584619280361676,0.028131909228578292,2.6509999999868583e-05,0.000737500000000002,0.00013386393659127818,-0.0007971025613521913
77,imports,2024-11-10_2024-11-16,random,0.05,8,65,0.90184769125,0.181935,0.027395701366336903,0.028106923373467173,0.0030543999999999016,0.0010950000000000126,-5.5053977433494605e-05,-0.0008220884164633104
77,imports,2024-11-10_2024-11-16,random,0.05,9,65,0.8919484787499999,0.180935,0.02738546062805881,0.02768813641920881,-0.00684481250000013,9.500000000001174e-05,-6.529471571158768e-05,-0.0012408753707216745
77,imports,2024-11-10_2024-11-16,random,0.05,10,65,0.8715613725,0.1807925,0.02701140012408523,0.02848327643792102,-0.027231918750000084,-4.750000000000587e-05,-0.0004393552196851683,-0.00044573535200946243
77,imports,2024-11-10_2024-11-16,random,0.05,11,65,0.88714316375,0.1814875,0.027165071526697466,0.028036737390770505,-0.011650127500000051,0.0006474999999999953,-0.000285683817072932,-0.0008922743991599778
77,imports,2024-11-10_2024-11-16,random,0.05,12,65,0.8494202762499998,0.1814675,0.027316976928481392,0.027811821993981373,-0.04937301500000024,0.0006275000000000031,-0.00013377841528900564,-0.0011171897959491098
77,imports,2024-11-10_2024-11-16,random,0.05,13,65,0.90059775625,0.1809975,0.027472232694955006,0.02857131210600993,0.0018044649999999773,0.00015750000000000486,2.1477351184608084e-05,-0.00035769968392055165
77,imports,2024-11-10_2024-11-16,random,0.05,14,65,0.8941775512500001,0.1814925,0.027514763983312287,0.02804461034385616,-0.004615739999999979,0.0006525000000000003,6.400863954188901e-05,-0.0008844014460743232
77,imports,2024-11-10_2024-11-16,random,0.05,15,65,0.89124045875,0.1802175,0.02711570003592978,0.027488355780122327,-0.007552832500000051,-0.0006224999999999981,-0.00033505530784061835,-0.0014406560098081563
77,imports,2024-11-10_2024-11-16,random,0.05,16,65,0.8934640812500001,0.180825,0.027304769478327013,0.028109843791896162,-0.005329209999999973,-1.4999999999987246e-05,-0.00014598586544338488,-0.000819167998034321
77,imports,2024-11-10_2024-11-16,random,0.05,17,65,0.89795926125,0.1804075,0.02726970679954552,0.028090944814298163,-0.0008340300000000411,-0.0004325000000000023,-0.0001810485442248766,-0.0008380669756323199
77,imports,2024-11-10_2024-11-16,random,0.05,18,65,0.8752485612500001,0.180765,0.02759874066471636,0.028133770844360848,-0.023544730000000014,-7.499999999999174e-05,0.00014798532094596056,-0.0007952409455696356
77,imports,2024-11-10_2024-11-16,random,0.05,19,65,0.8885262862500001,0.1814725,0.027812980218387698,0.028456980784986687,-0.010267004999999996,0.0006325000000000081,0.0003622248746173,-0.0004720310049437966
77,imports,2024-11-10_2024-11-16,random,0.05,20,65,0.90132843125,0.1812375,0.027714631638766713,0.028249787602249585,0.0025351399999998803,0.0003974999999999951,0.00026387629499631526,-0.0006792241876808977
77,imports,2024-11-10_2024-11-16,important,0.1,0,129,0.7292755625,0.1862975,0.024613609249828326,0.05719160269819205,-0.16951772875000004,0.005457500000000004,-0.0028371460939420716,0.028262590908261564
77,imports,2024-11-10_2024-11-16,random,0.1,1,129,0.8839562525,0.181335,0.02747201785074326,0.05564370847513381,-0.014837038750000087,0.0004949999999999954,2.1262506972860584e-05,0.026714696685203324
